task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mBackground 31 256 13401 15155 1754 14014 15643 1629 700 303 626 sdbws
mBackground 36 256 13408 15208 1800 14118 15801 1683 732 360 591 sdbws
mBackground 32 256 13402 15219 1817 14039 15737 1698 602 340 756 sdbws
mImgtbl 40 256 15225 19017 3792 15852 18489 2637 2009 460 168 sdbws
mAdd 41 1024 19028 21458 2430 19635 21706 2071 1239 259 573 sdbws
mShrink 42 256 21463 23918 2455 22064 23937 1873 697 543 633 sdbws
mJPEG 43 256 23923 26605 2682 24548 26905 2357 513 1642 202 sdbws
mProjectPP 2 1024 6 2202 2196 829 2571 1742 289 1034 419 sdbws
mProjectPP 1 1024 0 2205 2205 802 2570 1768 257 1045 466 sdbws
mProjectPP 9 1024 35 2206 2171 827 2626 1799 322 1021 456 sdbws
mProjectPP 6 1024 8 2206 2198 860 2607 1747 303 1017 427 sdbws
mProjectPP 8 1024 34 2207 2173 823 2587 1764 264 1031 469 sdbws
mProjectPP 10 1024 37 2208 2171 831 2603 1772 251 1007 514 sdbws
mProjectPP 7 1024 8 2208 2200 758 2546 1788 305 1014 469 sdbws
mProjectPP 5 1024 8 2209 2201 856 2671 1815 273 1017 525 sdbws
mProjectPP 4 1024 7 2209 2202 856 2728 1872 289 1041 542 sdbws
mProjectPP 3 1024 7 2379 2372 865 2941 2076 611 1001 464 sdbws
mDiffFit 15 1024 2228 3704 1476 2918 3717 799 444 90 265 sdbws
mDiffFit 14 1024 2400 3706 1306 3057 3872 815 504 77 234 sdbws
mDiffFit 26 1536 2229 3707 1478 2878 3883 1005 633 88 284 sdbws
mDiffFit 20 1536 2238 3708 1470 2901 3961 1060 667 82 311 sdbws
mDiffFit 19 512 2236 3709 1473 2881 4043 1162 695 202 265 sdbws
mDiffFit 22 512 2230 3709 1479 2816 3974 1158 685 180 293 sdbws
mDiffFit 18 1024 2395 3710 1315 2966 3980 1014 569 164 281 sdbws
mDiffFit 23 512 2229 3711 1482 2913 4127 1214 671 264 279 sdbws
mDiffFit 17 1024 2392 3712 1320 3066 4137 1071 694 74 303 sdbws
mDiffFit 13 512 2236 3712 1476 2888 4180 1292 642 347 303 sdbws
mDiffFit 27 512 2228 3713 1485 2908 4177 1269 819 183 267 sdbws
mDiffFit 12 1024 2399 3726 1327 3039 4255 1216 843 87 286 sdbws
mDiffFit 25 512 2228 3747 1519 2928 4361 1433 1037 164 232 sdbws
mDiffFit 21 512 2229 4341 2112 2889 4619 1730 1139 261 330 sdbws
mDiffFit 16 512 2391 4343 1952 3028 4733 1705 1041 362 302 sdbws
mDiffFit 24 512 2227 4346 2119 2962 4875 1913 1237 342 334 sdbws
mDiffFit 11 256 2227 4956 2729 2866 5454 2588 1367 840 381 sdbws
mConcatFit 28 512 4963 6187 1224 5600 6535 935 338 463 134 sdbws
mBgModel 29 1024 6193 9875 3682 6792 10205 3413 110 3170 133 sdbws
mBackground 33 512 9897 11102 1205 10590 11623 1033 409 144 480 sdbws
mBackground 35 512 9898 11103 1205 10583 11653 1070 406 140 524 sdbws
mBackground 37 512 9905 11205 1300 10596 11774 1178 392 161 625 sdbws
mBackground 32 256 9896 11719 1823 10509 12055 1546 620 303 623 sdbws
mBackground 34 256 9898 11721 1823 10579 12148 1569 599 342 628 sdbws
mBackground 36 256 9905 11722 1817 10552 12122 1570 618 303 649 sdbws
mBackground 39 256 9906 11723 1817 10529 12196 1667 673 302 692 sdbws
mBackground 30 256 9895 11729 1834 10558 12271 1713 780 320 613 sdbws
mBackground 38 256 9905 11809 1904 10593 12354 1761 550 322 889 sdbws
mBackground 31 256 9896 12333 2437 10486 12525 2039 576 304 1159 sdbws
mImgtbl 40 256 12340 15093 2753 12886 15424 2538 2116 242 180 sdbws
mAdd 41 1024 15098 20542 5444 15708 20853 5145 4356 207 582 sdbws
mShrink 42 256 20546 22581 2035 21104 23042 1938 498 764 676 sdbws
mJPEG 43 256 22587 25252 2665 23172 25714 2542 490 1684 368 sdbws
mProjectPP 2 1024 25 1988 1963 682 2422 1740 288 1029 423 sdbws
mProjectPP 7 1024 27 1990 1963 701 2455 1754 280 1010 464 sdbws
mProjectPP 8 1024 32 1991 1959 606 2386 1780 314 1026 440 sdbws
mProjectPP 10 1024 34 1991 1957 711 2526 1815 280 1015 520 sdbws
mProjectPP 6 1024 26 1992 1966 754 2539 1785 301 1028 456 sdbws
mProjectPP 4 1024 26 1992 1966 724 2520 1796 273 1031 492 sdbws
mProjectPP 1 1024 0 1993 1993 735 2533 1798 303 1053 442 sdbws
mProjectPP 9 1024 33 1996 1963 728 2535 1807 274 1057 476 sdbws
mProjectPP 3 1024 25 2019 1994 699 2533 1834 282 1063 489 sdbws
mProjectPP 5 1024 26 2132 2106 740 2663 1923 263 1028 632 sdbws
mDiffFit 20 1536 2009 2868 859 2629 3405 776 420 88 268 sdbws
mDiffFit 15 1024 2008 2930 922 2601 3448 847 504 88 255 sdbws
mDiffFit 26 1536 2008 2948 940 2718 3508 790 378 126 286 sdbws
mDiffFit 14 1024 2032 2981 949 2723 3521 798 427 83 288 sdbws
mDiffFit 12 1024 2029 3018 989 2767 3571 804 463 83 258 sdbws
mDiffFit 17 1024 2148 3085 937 2795 3625 830 492 83 255 sdbws
mDiffFit 18 1024 2028 3118 1090 2737 3676 939 538 127 274 sdbws
mDiffFit 22 512 2142 3557 1415 2774 3899 1125 668 177 280 sdbws
mDiffFit 19 512 2152 3560 1408 2677 3883 1206 714 162 330 sdbws
mDiffFit 24 512 2018 3562 1544 2678 4053 1375 682 360 333 sdbws
mDiffFit 23 512 2009 3563 1554 2681 4048 1367 819 260 288 sdbws
mDiffFit 13 512 2144 3564 1420 2822 4085 1263 703 283 277 sdbws
mDiffFit 25 512 2020 3565 1545 2760 4162 1402 796 162 444 sdbws
mDiffFit 16 512 2028 3566 1538 2709 4111 1402 708 379 315 sdbws
mDiffFit 21 512 2141 4559 2418 2776 4823 2047 1478 262 307 sdbws
mDiffFit 11 256 2014 4561 2547 2586 5004 2418 1246 579 593 sdbws
mDiffFit 27 512 2015 6089 4074 2789 6188 3399 901 263 2235 sdbws
mConcatFit 28 512 6105 8115 2010 6767 8683 1916 1232 470 214 sdbws
mBgModel 29 1024 8121 11638 3517 8750 12196 3446 136 3170 140 sdbws
mBackground 33 512 11658 12882 1224 12332 13394 1062 416 160 486 sdbws
mBackground 35 512 11658 12883 1225 12331 13440 1109 383 160 566 sdbws
mBackground 37 512 11660 12974 1314 12365 13529 1164 411 147 606 sdbws
mBackground 34 256 11658 13454 1796 12327 13789 1462 579 340 543 sdbws
mBackground 39 256 11667 13457 1790 12339 13773 1434 559 300 575 sdbws
mBackground 32 256 11657 13459 1802 12313 13820 1507 579 322 606 sdbws
mBackground 38 256 11667 13460 1793 12401 13913 1512 546 342 624 sdbws
mBackground 36 256 11659 13490 1831 12325 14008 1683 554 303 826 sdbws
mBackground 30 256 11656 13556 1900 12352 14088 1736 799 302 635 sdbws
mBackground 31 256 11657 13670 2013 12234 13837 1603 617 341 645 sdbws
mImgtbl 40 256 13678 17448 3770 14293 17708 3415 2798 443 174 sdbws
mAdd 41 1024 17460 20211 2751 18086 20406 2320 1489 275 556 sdbws
mShrink 42 256 20215 24633 4418 22922 24933 2011 649 622 740 sdbws
mJPEG 43 256 24637 27567 2930 25241 27676 2435 491 1680 264 sdbws
mProjectPP 4 1024 30 2473 2443 702 2414 1712 244 1033 435 sdbws
mProjectPP 1 1024 0 2475 2475 719 2441 1722 267 1017 438 sdbws
mProjectPP 2 1024 7 2476 2469 687 2472 1785 297 1019 469 sdbws
mProjectPP 10 1024 38 2476 2438 736 2483 1747 281 1022 444 sdbws
mProjectPP 7 1024 31 2477 2446 746 2506 1760 273 1031 456 sdbws
mProjectPP 6 1024 31 2477 2446 640 2446 1806 299 1016 491 sdbws
mProjectPP 8 1024 35 2478 2443 717 2525 1808 271 1058 479 sdbws
mProjectPP 5 1024 30 2478 2448 689 2556 1867 371 1041 455 sdbws
mProjectPP 9 1024 36 2478 2442 670 2545 1875 293 1033 549 sdbws
mProjectPP 3 1024 8 2479 2471 747 2867 2120 598 1011 511 sdbws
mDiffFit 20 1536 2503 3654 1151 3192 3993 801 401 85 315 sdbws
mDiffFit 12 1024 2520 3655 1135 3210 3998 788 432 99 257 sdbws
mDiffFit 14 1024 2523 3657 1134 3222 4041 819 489 104 226 sdbws
mDiffFit 17 1024 2508 3659 1151 3199 4022 823 505 78 240 sdbws
mDiffFit 26 1536 2503 3660 1157 3165 4040 875 405 113 357 sdbws
mDiffFit 15 1024 2504 3660 1156 3181 4018 837 473 87 277 sdbws
mDiffFit 18 1024 2517 3661 1144 3153 4076 923 499 124 300 sdbws
mDiffFit 22 512 2504 3722 1218 3181 4275 1094 663 162 269 sdbws
mDiffFit 21 512 2504 3881 1377 3199 4451 1252 699 280 273 sdbws
mDiffFit 13 512 2506 3950 1444 3237 4518 1281 669 261 351 sdbws
mDiffFit 25 512 2507 3964 1457 3127 4419 1292 852 182 258 sdbws
mDiffFit 16 512 2507 4028 1521 3225 4586 1361 682 343 336 sdbws
mDiffFit 23 512 2504 4071 1567 3268 4630 1362 902 182 278 sdbws
mDiffFit 19 512 2506 4217 1711 3189 4768 1579 1125 184 270 sdbws
mDiffFit 24 512 2507 4611 2104 3246 5003 1757 1097 347 313 sdbws
mDiffFit 27 512 2507 4635 2128 3185 5192 2007 957 185 865 sdbws
mDiffFit 11 256 2503 5303 2800 3150 5729 2579 1691 541 347 sdbws
mConcatFit 28 512 5307 6460 1153 5939 6887 948 324 483 141 sdbws
mBgModel 29 1024 6463 10452 3989 6985 10429 3444 125 3186 133 sdbws
mBackground 35 512 10470 11675 1205 11123 12173 1050 400 160 490 sdbws
mBackground 33 512 10469 11680 1211 11212 12258 1046 373 159 514 sdbws
mBackground 37 512 10477 11750 1273 11159 12304 1145 435 162 548 sdbws
mBackground 34 256 10470 12202 1732 11078 12588 1510 570 302 638 sdbws
mBackground 39 256 10480 12203 1723 11156 12689 1533 579 320 634 sdbws
mBackground 32 256 10469 12217 1748 11094 12747 1653 567 339 747 sdbws
mBackground 30 256 10467 12274 1807 11139 12816 1677 682 302 693 sdbws
mBackground 31 256 10468 12279 1811 11128 12794 1666 599 320 747 sdbws
mBackground 36 256 10470 12353 1883 11177 12944 1767 599 341 827 sdbws
mBackground 38 256 10478 12821 2343 11041 13051 2010 899 322 789 sdbws
mImgtbl 40 256 12824 16592 3768 13360 16946 3586 3160 204 222 sdbws
mAdd 41 1024 16603 18743 2140 17130 19098 1968 1165 278 525 sdbws
mShrink 42 256 18749 20838 2089 19284 21298 2014 757 562 695 sdbws
mJPEG 43 256 20842 24579 3737 21367 24373 3006 1115 1662 229 sdbws
