task id resource request_start request_end request_duration start end time downloaded executed uploaded type
generateData.js 1 256 0 3954 3954 1613 3703 2090 964 861 265 256
createDat.js 3 256 3969 5482 1513 4071 5204 1133 125 822 186 256
createDat.js 5 256 3970 7019 3049 4832 6804 1972 933 820 219 256
createDat.js 2 256 3968 7020 3052 4818 6841 2023 929 841 253 256
createDat.js 4 256 3969 7232 3263 5086 7140 2054 975 822 257 256
ellipsoids-openmp 45 256 5521 24227 18706 6865 23809 16944 134 16487 323 256
ellipsoids-openmp 31 256 5498 24229 18731 5646 23975 18329 191 17741 397 256
ellipsoids-openmp 34 256 5499 24529 19030 6372 24328 17956 909 16703 344 256
ellipsoids-openmp 67 256 7070 24608 17538 7341 24539 17198 155 16708 335 256
ellipsoids-openmp 28 256 5497 24624 19127 6380 24513 18133 991 16803 339 256
ellipsoids-openmp 40 256 5501 24648 19147 6438 24550 18112 926 16802 384 256
ellipsoids-openmp 33 256 5499 24681 19182 6448 24587 18139 961 16821 357 256
ellipsoids-openmp 27 256 5496 24748 19252 6378 24623 18245 967 16923 355 256
ellipsoids-openmp 44 256 5503 25043 19540 6397 24774 18377 943 17080 354 256
ellipsoids-openmp 39 256 5501 25045 19544 6681 24868 18187 951 16823 413 256
ellipsoids-openmp 37 256 5500 25046 19546 6440 24859 18419 960 17143 316 256
ellipsoids-openmp 26 256 5494 25046 19552 6380 24849 18469 996 16921 552 256
ellipsoids-openmp 42 256 5502 25047 19545 6549 24856 18307 964 17042 301 256
ellipsoids-openmp 29 256 5497 25047 19550 6446 24910 18464 1000 17122 342 256
ellipsoids-openmp 77 256 7086 25048 17962 7309 24879 17570 143 17116 311 256
ellipsoids-openmp 41 256 5502 25072 19570 6569 24975 18406 930 17162 314 256
ellipsoids-openmp 36 256 5500 25113 19613 6478 25050 18572 943 17284 345 256
ellipsoids-openmp 38 256 5501 25136 19635 6456 25046 18590 919 17302 369 256
ellipsoids-openmp 30 256 5498 25189 19691 6468 25032 18564 1006 17200 358 256
ellipsoids-openmp 32 256 5498 25212 19714 6519 25125 18606 906 17383 317 256
ellipsoids-openmp 72 256 7073 25326 18253 8086 25240 17154 900 15943 311 256
ellipsoids-openmp 74 256 7085 25338 18253 8081 25219 17138 1086 15681 371 256
ellipsoids-openmp 43 256 5503 25349 19846 6447 25212 18765 955 17442 368 256
ellipsoids-openmp 35 256 5499 25387 19888 6423 25265 18842 1000 17523 319 256
ellipsoids-openmp 70 256 7072 25494 18422 8060 25375 17315 941 16041 333 256
ellipsoids-openmp 66 256 7070 25586 18516 8019 25451 17432 940 16121 371 256
ellipsoids-openmp 81 256 7088 25656 18568 8124 25576 17452 940 16161 351 256
ellipsoids-openmp 82 256 7089 25663 18574 8085 25545 17460 963 16142 355 256
ellipsoids-openmp 71 256 7072 25684 18612 8117 25587 17470 939 16164 367 256
ellipsoids-openmp 68 256 7071 25729 18658 8086 25643 17557 1013 16242 302 256
ellipsoids-openmp 73 256 7074 25758 18684 8098 25638 17540 1004 16222 314 256
ellipsoids-openmp 17 256 7097 25809 18712 8149 25711 17562 923 16303 336 256
ellipsoids-openmp 79 256 7087 25860 18773 8154 25798 17644 960 16321 363 256
ellipsoids-openmp 84 256 7090 25867 18777 8117 25777 17660 984 16380 296 256
ellipsoids-openmp 6 256 7100 25887 18787 8074 25715 17641 980 16282 379 256
ellipsoids-openmp 7 256 7101 25896 18795 8156 25804 17648 904 16423 321 256
ellipsoids-openmp 53 256 7411 25907 18496 8321 25800 17479 959 16142 378 256
ellipsoids-openmp 62 256 7415 25915 18500 8385 25832 17447 931 16223 293 256
ellipsoids-openmp 78 256 7087 25929 18842 8063 25790 17727 976 16361 390 256
ellipsoids-openmp 50 256 7409 25942 18533 8291 25829 17538 955 16320 263 256
ellipsoids-openmp 75 256 7085 25945 18860 8085 25821 17736 961 16442 333 256
ellipsoids-openmp 8 256 7101 26007 18906 8126 25883 17757 974 16422 361 256
ellipsoids-openmp 76 256 7086 26021 18935 8179 25979 17800 983 16461 356 256
ellipsoids-openmp 46 256 7401 26024 18623 8309 25898 17589 960 16262 367 256
ellipsoids-openmp 56 256 7412 26060 18648 8331 25975 17644 871 16400 373 256
ellipsoids-openmp 65 256 7417 26081 18664 8364 25986 17622 968 16343 311 256
ellipsoids-openmp 25 256 7100 26097 18997 8169 26048 17879 1315 16263 301 256
ellipsoids-openmp 69 256 7071 26101 19030 8138 25982 17844 980 16540 324 256
ellipsoids-openmp 10 256 7093 26112 19019 8152 26033 17881 1007 16502 372 256
ellipsoids-openmp 19 256 7097 26120 19023 8167 26032 17865 1001 16501 363 256
ellipsoids-openmp 85 256 7091 26133 19042 8224 26098 17874 941 16561 372 256
ellipsoids-openmp 13 256 7095 26135 19040 8132 26049 17917 920 16662 335 256
ellipsoids-openmp 80 256 7088 26140 19052 8092 26026 17934 984 16623 327 256
ellipsoids-openmp 60 256 7414 26160 18746 8290 25934 17644 983 16360 301 256
ellipsoids-openmp 18 256 7097 26178 19081 8123 26063 17940 973 16563 404 256
ellipsoids-openmp 49 256 7406 26185 18779 8378 26139 17761 942 16518 301 256
ellipsoids-openmp 20 256 7098 26249 19151 8113 26104 17991 948 16462 581 256
ellipsoids-openmp 83 256 7089 26297 19208 7987 26280 18293 970 16962 361 256
ellipsoids-openmp 47 256 7402 26320 18918 8359 26258 17899 969 16581 349 256
ellipsoids-openmp 48 256 7402 26351 18949 8315 26239 17924 920 16661 343 256
ellipsoids-openmp 54 256 7411 26353 18942 8351 26231 17880 960 16561 359 256
ellipsoids-openmp 14 256 7095 26396 19301 8165 26317 18152 1015 16762 375 256
ellipsoids-openmp 57 256 7413 26431 19018 8332 26315 17983 983 16662 338 256
ellipsoids-openmp 22 256 7099 26446 19347 8166 26403 18237 931 16962 344 256
ellipsoids-openmp 24 256 7099 26504 19405 8128 26399 18271 919 16963 389 256
ellipsoids-openmp 64 256 7416 26512 19096 8301 26393 18092 930 16802 360 256
ellipsoids-openmp 16 256 7096 26519 19423 8195 26470 18275 998 16881 396 256
ellipsoids-openmp 61 256 7415 26542 19127 8337 26416 18079 962 16782 335 256
ellipsoids-openmp 59 256 7414 26556 19142 8365 26438 18073 1023 16701 349 256
ellipsoids-openmp 23 256 7099 26578 19479 8172 26488 18316 992 16981 343 256
ellipsoids-openmp 15 256 7096 26582 19486 8183 26489 18306 984 16863 459 256
ellipsoids-openmp 51 256 7410 26591 19181 8387 26519 18132 975 16782 375 256
ellipsoids-openmp 58 256 7413 26604 19191 8360 26516 18156 940 16881 335 256
ellipsoids-openmp 63 256 7416 26619 19203 8349 26528 18179 924 16861 394 256
ellipsoids-openmp 55 256 7412 26625 19213 8335 26531 18196 967 16882 347 256
ellipsoids-openmp 12 256 7095 26711 19616 8163 26637 18474 963 17163 348 256
ellipsoids-openmp 9 256 7102 26746 19644 8139 26643 18504 974 17161 369 256
ellipsoids-openmp 11 256 7094 26761 19667 8138 26664 18526 963 17202 361 256
ellipsoids-openmp 21 256 7098 26818 19720 8125 26687 18562 983 17221 358 256
ellipsoids-openmp 52 256 7411 26836 19425 8357 26752 18395 983 17082 330 256
mean-pack-ell 87 256 25396 27253 1857 25464 27135 1671 1317 141 213 256
mean-pack-ell 89 256 26308 28177 1869 26452 28132 1680 1386 140 154 256
mean-pack-ell 88 256 26841 28755 1914 26899 28618 1719 1429 141 149 256
mean-pack-ell 86 256 26829 28760 1931 26941 28680 1739 1439 123 177 256
summary.js 90 256 28763 30254 1491 28904 30177 1273 257 861 155 256
generateData.js 1 256 0 1487 1487 148 1269 1121 147 808 166 256
createDat.js 3 256 1495 2773 1278 1612 2692 1080 127 784 169 256
createDat.js 2 256 1492 3051 1559 1781 2923 1142 124 846 172 256
createDat.js 5 256 1499 3084 1585 1806 2944 1138 147 851 140 256
createDat.js 4 256 1497 3218 1721 1876 3099 1223 222 824 177 256
ellipsoids-openmp 28 256 2787 19518 16731 2935 19440 16505 110 16157 238 256
ellipsoids-openmp 29 256 2787 20272 17485 3206 20228 17022 124 16649 249 256
ellipsoids-openmp 34 256 2797 20279 17482 3202 20208 17006 179 16523 304 256
ellipsoids-openmp 33 256 2797 20310 17513 3174 20215 17041 178 16583 280 256
ellipsoids-openmp 43 256 2800 20337 17537 3241 20289 17048 132 16642 274 256
ellipsoids-openmp 39 256 2799 20455 17656 2955 20361 17406 170 16950 286 256
ellipsoids-openmp 70 256 3100 20468 17368 3544 20387 16843 169 16385 289 256
ellipsoids-openmp 83 256 3116 20480 17364 3668 20380 16712 177 16282 253 256
ellipsoids-openmp 41 256 2799 20502 17703 3208 20433 17225 139 16799 287 256
ellipsoids-openmp 38 256 2798 20504 17706 3228 20432 17204 147 16754 303 256
ellipsoids-openmp 68 256 3099 20588 17489 3522 20481 16959 173 16487 299 256
ellipsoids-openmp 45 256 2809 20596 17787 3297 20481 17184 147 16693 344 256
ellipsoids-openmp 73 256 3101 20602 17501 3564 20529 16965 170 16468 327 256
ellipsoids-openmp 42 256 2799 20605 17806 3170 20487 17317 132 16912 273 256
ellipsoids-openmp 69 256 3099 20608 17509 3527 20500 16973 153 16528 292 256
ellipsoids-openmp 74 256 3111 20614 17503 3532 20501 16969 146 16512 311 256
ellipsoids-openmp 81 256 3115 20630 17515 3569 20551 16982 167 16511 304 256
ellipsoids-openmp 84 256 3127 20676 17549 3527 20550 17023 164 16573 286 256
ellipsoids-openmp 85 256 3135 20705 17570 3546 20594 17048 151 16612 285 256
ellipsoids-openmp 31 256 2788 20711 17923 3128 20581 17453 136 17066 251 256
ellipsoids-openmp 26 256 2786 20723 17937 3131 20603 17472 122 17110 240 256
ellipsoids-openmp 75 256 3112 20751 17639 3560 20671 17111 170 16624 317 256
ellipsoids-openmp 44 256 2808 20778 17970 3362 20674 17312 164 16867 281 256
ellipsoids-openmp 32 256 2796 20780 17984 3199 20706 17507 132 17072 303 256
ellipsoids-openmp 30 256 2788 20787 17999 3187 20704 17517 153 17069 295 256
ellipsoids-openmp 40 256 2799 20831 18032 3162 20706 17544 216 17024 304 256
ellipsoids-openmp 66 256 3098 20870 17772 3501 20742 17241 193 16787 261 256
ellipsoids-openmp 77 256 3113 20877 17764 3581 20807 17226 220 16700 306 256
ellipsoids-openmp 82 256 3115 20901 17786 3520 20772 17252 160 16761 331 256
ellipsoids-openmp 27 256 2786 20939 18153 3384 20863 17479 141 17016 322 256
ellipsoids-openmp 80 256 3115 20952 17837 3525 20836 17311 173 16865 273 256
ellipsoids-openmp 35 256 2797 21004 18207 2983 20927 17944 188 17432 324 256
ellipsoids-openmp 25 256 3067 21014 17947 3288 20916 17628 241 17080 307 256
ellipsoids-openmp 14 256 3063 21030 17967 3466 20925 17459 194 16979 286 256
ellipsoids-openmp 76 256 3113 21035 17922 3482 20882 17400 176 16898 326 256
ellipsoids-openmp 72 256 3100 21076 17976 3577 21017 17440 167 16992 281 256
ellipsoids-openmp 71 256 3100 21107 18007 3546 21019 17473 200 16960 313 256
ellipsoids-openmp 17 256 3064 21119 18055 3494 21038 17544 168 17091 285 256
ellipsoids-openmp 13 256 3063 21193 18130 3410 21055 17645 147 17206 292 256
ellipsoids-openmp 36 256 2798 21215 18417 3183 21132 17949 158 17084 707 256
ellipsoids-openmp 37 256 2798 21266 18468 3177 21162 17985 147 17506 332 256
ellipsoids-openmp 78 256 3114 21283 18169 3560 21193 17633 166 17193 274 256
ellipsoids-openmp 16 256 3064 21304 18240 3508 21231 17723 192 17270 261 256
ellipsoids-openmp 9 256 3087 21366 18279 3523 21259 17736 159 17221 356 256
ellipsoids-openmp 67 256 3099 21371 18272 3497 21249 17752 198 17292 262 256
ellipsoids-openmp 6 256 3067 21408 18341 3545 21330 17785 154 17304 327 256
ellipsoids-openmp 24 256 3066 21451 18385 3553 21404 17851 143 17411 297 256
ellipsoids-openmp 22 256 3066 21458 18392 3436 21297 17861 149 17430 282 256
ellipsoids-openmp 64 256 3268 21468 18200 3664 21397 17733 176 17283 274 256
ellipsoids-openmp 50 256 3249 21470 18221 3638 21412 17774 153 17333 288 256
ellipsoids-openmp 79 256 3114 21473 18359 3547 21370 17823 184 17335 304 256
ellipsoids-openmp 52 256 3250 21477 18227 3602 21381 17779 198 17280 301 256
ellipsoids-openmp 56 256 3251 21484 18233 3397 21386 17989 152 17508 329 256
