type time price
256 52673 0.000749349
512 27067 0.000899052
1024 18116 0.001241915
1536 17149 0.001705682
2048 16494 0.002430486
2560 14179 0.002534144
3008 14804 0.002947994
sdbws 26166 0.000978714
plan 24259 0.000984142
