task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mProjectPP 10 256 31 5385 5354 751 5890 5139 357 4200 582 256
mProjectPP 7 256 30 5406 5376 712 5890 5178 400 4162 616 256
mProjectPP 9 256 30 5407 5377 752 5935 5183 330 4240 613 256
mProjectPP 8 256 30 5422 5392 714 5921 5207 382 4202 623 256
mProjectPP 5 256 29 5432 5403 750 5963 5213 359 4280 574 256
mProjectPP 6 256 29 5521 5492 762 6071 5309 400 4221 688 256
mProjectPP 1 256 0 6008 6008 625 6376 5751 296 4681 774 256
mProjectPP 3 256 28 6012 5984 922 6554 5632 398 4522 712 256
mProjectPP 4 256 29 6013 5984 803 6524 5721 437 4502 782 256
mProjectPP 2 256 6 6323 6317 885 6846 5961 419 4820 722 256
mDiffFit 27 256 5413 7851 2438 6083 8116 2033 1381 381 271 256
mDiffFit 22 256 5436 7851 2415 6102 8129 2027 1442 325 260 256
mDiffFit 25 256 5417 7852 2435 6044 8165 2121 1471 361 289 256
mDiffFit 23 256 5526 7962 2436 6183 8486 2303 1627 342 334 256
mDiffFit 26 256 5413 8050 2637 6028 8576 2548 1462 742 344 256
mDiffFit 24 256 5526 8093 2567 6221 8615 2394 1418 581 395 256
mDiffFit 12 256 6030 8218 2188 6746 8781 2035 1319 402 314 256
mDiffFit 21 256 5530 8220 2690 6145 8705 2560 1527 684 349 256
mDiffFit 19 256 6033 8475 2442 6658 8979 2321 1638 365 318 256
mDiffFit 18 256 6030 8532 2502 6666 9054 2388 1283 742 363 256
mDiffFit 14 256 6334 9087 2753 6989 9230 2241 1600 323 318 256
mDiffFit 11 256 6343 9089 2746 6929 9284 2355 1441 560 354 256
mDiffFit 17 256 6029 9153 3124 6605 9620 3015 2238 499 278 256
mDiffFit 15 256 6341 9164 2823 6979 9720 2741 2006 399 336 256
mDiffFit 13 256 6029 9319 3290 6634 9843 3209 2126 683 400 256
mDiffFit 16 256 6035 9393 3358 6678 9942 3264 2382 560 322 256
mDiffFit 20 256 6035 11846 5811 6803 12254 5451 4300 720 431 256
mConcatFit 28 256 11852 13840 1988 12477 14369 1892 686 1022 184 256
mBgModel 29 256 13843 27080 13237 14443 27601 13158 135 12885 138 256
mBackground 31 256 27091 29049 1958 27710 29191 1481 578 303 600 256
mBackground 36 256 27093 29051 1958 27784 29284 1500 584 340 576 256
mBackground 30 256 27090 29052 1962 27841 29385 1544 619 320 605 256
mBackground 38 256 27094 29053 1959 27779 29388 1609 650 340 619 256
mBackground 33 256 27091 29055 1964 27782 29487 1705 658 300 747 256
mBackground 34 256 27092 29056 1964 27805 29553 1748 679 360 709 256
mBackground 39 256 27101 29125 2024 27797 29623 1826 680 320 826 256
mBackground 32 256 27091 29136 2045 27732 29666 1934 771 402 761 256
mBackground 37 256 27093 29258 2165 27793 29758 1965 1059 320 586 256
mBackground 35 256 27092 31024 3932 27742 31489 3747 739 581 2427 256
mImgtbl 40 256 31032 33965 2933 31641 34368 2727 2162 419 146 256
mAdd 41 256 33974 59261 25287 49843 59716 9873 7698 1121 1054 256
mShrink 42 256 59268 61467 2199 59845 61832 1987 676 701 610 256
mJPEG 43 256 61469 64708 3239 62015 64712 2697 746 1702 249 256
mProjectPP 7 256 26 6218 6192 700 5926 5226 384 4259 583 256
mProjectPP 9 256 33 6221 6188 755 5971 5216 345 4262 609 256
mProjectPP 5 256 25 6221 6196 795 6015 5220 340 4280 600 256
mProjectPP 6 256 26 6222 6196 738 6025 5287 390 4303 594 256
mProjectPP 10 256 33 6222 6189 874 6172 5298 357 4340 601 256
mProjectPP 3 256 24 6223 6199 761 6148 5387 449 4282 656 256
mProjectPP 1 256 0 6223 6223 914 6211 5297 325 4381 591 256
mProjectPP 2 256 24 6223 6199 661 6334 5673 331 4461 881 256
mProjectPP 8 256 31 6224 6193 962 6360 5398 397 4341 660 256
mProjectPP 4 256 25 6224 6199 915 6595 5680 359 4501 820 256
mDiffFit 23 256 6248 8518 2270 7065 9021 1956 1275 362 319 256
mDiffFit 27 256 6249 8714 2465 7180 9246 2066 1221 542 303 256
mDiffFit 26 256 6249 8750 2501 7151 9270 2119 1259 560 300 256
mDiffFit 16 256 6270 8759 2489 7179 9341 2162 1276 562 324 256
mDiffFit 15 256 6251 8853 2602 7175 9390 2215 1520 381 314 256
mDiffFit 14 256 6250 8876 2626 7089 9366 2277 1640 302 335 256
mDiffFit 17 256 6250 8881 2631 7161 9405 2244 1561 321 362 256
mDiffFit 25 256 6247 8890 2643 7011 9349 2338 1502 520 316 256
mDiffFit 11 256 6251 8930 2679 7088 9430 2342 1299 538 505 256
mDiffFit 19 256 6252 8933 2681 7128 9436 2308 1638 341 329 256
mDiffFit 13 256 6250 9281 3031 7194 9732 2538 1480 721 337 256
mDiffFit 12 256 6250 9282 3032 7152 9787 2635 1700 539 396 256
mDiffFit 21 256 6249 9283 3034 7105 9788 2683 1667 681 335 256
mDiffFit 22 256 6248 9333 3085 7071 9861 2790 2164 319 307 256
mDiffFit 24 256 6248 9428 3180 6987 9870 2883 1893 562 428 256
mDiffFit 18 256 6251 10475 4224 7145 10422 3277 2190 542 545 256
mDiffFit 20 256 6254 12172 5918 10040 12344 2304 1260 720 324 256
mConcatFit 28 256 12185 14508 2323 12747 14738 1991 774 1060 157 256
mBgModel 29 256 14511 28030 13519 15030 28455 13425 132 13138 155 256
mBackground 32 256 28045 29624 1579 28792 30193 1401 539 321 541 256
mBackground 30 256 28045 29668 1623 28731 30186 1455 560 301 594 256
mBackground 34 256 28046 29702 1656 28701 30204 1503 585 302 616 256
mBackground 35 256 28046 29704 1658 28598 30145 1547 561 322 664 256
mBackground 33 256 28046 29723 1677 28756 30272 1516 557 301 658 256
mBackground 38 256 28052 29762 1710 28736 30317 1581 659 301 621 256
mBackground 39 256 28055 29894 1839 28726 30420 1694 613 301 780 256
mBackground 37 256 28051 29906 1855 28692 30371 1679 620 441 618 256
mBackground 31 256 28045 29943 1898 28716 30470 1754 658 320 776 256
mBackground 36 256 28047 33107 5060 28698 33599 4901 664 322 3915 256
mImgtbl 40 256 33115 36319 3204 33728 36796 3068 2455 461 152 256
mAdd 41 256 36328 52482 16154 42363 52967 10604 8661 1020 923 256
mShrink 42 256 52487 55366 2879 53185 55162 1977 718 561 698 256
mJPEG 43 256 55372 58134 2762 55963 58427 2464 560 1683 221 256
mProjectPP 8 256 34 5484 5450 752 5947 5195 320 4282 593 256
mProjectPP 9 256 34 5487 5453 702 5970 5268 358 4261 649 256
mProjectPP 3 256 26 5488 5462 761 6026 5265 373 4283 609 256
mProjectPP 4 256 26 5512 5486 777 6069 5292 339 4243 710 256
mProjectPP 6 256 27 5544 5517 717 6046 5329 410 4262 657 256
mProjectPP 1 256 0 5599 5599 661 6041 5380 319 4362 699 256
mProjectPP 7 256 27 5618 5591 701 6146 5445 354 4281 810 256
mProjectPP 10 256 35 6394 6359 1141 6449 5308 391 4320 597 256
mProjectPP 2 256 25 6396 6371 667 6494 5827 337 4700 790 256
mProjectPP 5 256 26 6397 6371 854 6511 5657 421 4481 755 256
mDiffFit 12 256 5603 8251 2648 6115 8177 2062 1148 380 534 256
mDiffFit 20 256 5635 8252 2617 6286 8309 2023 1194 503 326 256
mDiffFit 16 256 5520 8252 2732 6253 8462 2209 1363 522 324 256
mDiffFit 25 256 5631 8253 2622 6313 8476 2163 1599 321 243 256
mDiffFit 24 256 5552 8253 2701 6193 8676 2483 1403 779 301 256
mDiffFit 18 256 5493 8321 2828 6069 8815 2746 1838 544 364 256
mDiffFit 14 256 6418 8382 1964 7104 8888 1784 1199 321 264 256
mDiffFit 23 256 5636 8414 2778 6280 8954 2674 1994 363 317 256
mDiffFit 11 256 6419 8858 2439 7073 9236 2163 1280 524 359 256
mDiffFit 13 256 6420 8947 2527 7051 9448 2397 1498 563 336 256
mDiffFit 26 256 6418 8976 2558 7092 9495 2403 1460 580 363 256
mDiffFit 21 256 6419 9466 3047 7099 9934 2835 1793 542 500 256
mDiffFit 15 256 6419 9469 3050 6989 9910 2921 2006 563 352 256
mDiffFit 27 256 6418 9534 3116 7028 10020 2992 1998 699 295 256
mDiffFit 17 256 6425 10695 4270 7241 11069 3828 3020 521 287 256
mDiffFit 19 256 6425 11684 5259 10075 12062 1987 1318 362 307 256
mDiffFit 22 256 6420 11686 5266 10039 12160 2121 1505 323 293 256
mConcatFit 28 256 11697 13767 2070 12344 14206 1862 661 1020 181 256
mBgModel 29 256 13775 27293 13518 14360 27580 13220 129 12935 156 256
mBackground 32 256 27306 30399 3093 28870 30375 1505 578 323 604 256
mBackground 30 256 27305 30400 3095 28919 30465 1546 653 301 592 256
mBackground 39 256 27314 30401 3087 28896 30474 1578 598 322 658 256
mBackground 35 256 27307 30404 3097 28892 30535 1643 578 460 605 256
mBackground 36 256 27307 30405 3098 28935 30661 1726 779 322 625 256
mBackground 34 256 27307 30406 3099 28781 30663 1882 732 521 629 256
mBackground 33 256 27306 30412 3106 28811 30898 2087 1053 400 634 256
mBackground 31 256 27305 31586 4281 29023 31166 2143 838 540 765 256
mBackground 38 256 27314 31588 4274 29021 31733 2712 1359 582 771 256
mBackground 37 256 27308 31589 4281 29098 31834 2736 1498 422 816 256
