task id resource start end time downloaded executed uploaded type
mDiffFit 156 1536 2286 3154 868 428 98 342 1536
mDiffFit 145 1536 2297 3150 853 420 90 343 1536
mDiffFit 171 1536 2420 3230 810 436 103 271 1536
mProjectPP 75 1536 1014 3299 2285 663 777 845 1536
mDiffFit 185 1536 2566 3369 803 487 89 227 1536
mProjectPP 54 1536 1480 3385 1905 472 769 664 1536
mDiffFit 147 1536 2525 3365 840 439 111 290 1536
mDiffFit 154 1536 2643 3395 752 430 86 236 1536
mProjectPP 53 1536 874 3371 2497 545 791 1161 1536
mDiffFit 124 1536 2575 3405 830 469 113 248 1536
mDiffFit 169 1536 2540 3376 836 433 120 283 1536
mDiffFit 123 1536 2505 3368 863 468 114 281 1536
mDiffFit 104 1536 2534 3376 842 499 98 245 1536
mDiffFit 184 1536 2625 3403 778 433 58 287 1536
mDiffFit 144 1536 2610 3448 838 468 105 265 1536
mDiffFit 122 1536 2529 3391 862 473 116 273 1536
mDiffFit 174 1536 2698 3464 766 479 82 205 1536
mDiffFit 167 1536 2526 3392 866 475 114 277 1536
mDiffFit 199 1536 2633 3435 802 451 88 263 1536
mDiffFit 203 1536 2555 3426 871 491 100 280 1536
mDiffFit 120 1536 2679 3478 799 488 81 230 1536
mDiffFit 166 1536 2599 3438 839 469 88 282 1536
mDiffFit 158 1536 2716 3480 764 453 75 236 1536
mProjectPP 24 1536 1790 3498 1708 406 784 518 1536
mDiffFit 153 1536 2597 3382 785 466 94 225 1536
mDiffFit 127 1536 2557 3458 901 493 142 266 1536
mDiffFit 170 1536 2670 3507 837 422 121 294 1536
mDiffFit 194 1536 2593 3468 875 450 137 288 1536
mDiffFit 225 1536 2614 3450 836 491 86 259 1536
mDiffFit 146 1536 2690 3618 928 466 131 331 1536
mDiffFit 305 1536 2692 3508 816 454 116 246 1536
mProjectPP 97 1536 1767 3533 1766 469 768 529 1536
mDiffFit 341 1536 2681 3543 862 450 131 281 1536
mDiffFit 195 1536 2797 3517 720 432 95 193 1536
mDiffFit 128 1536 2308 3505 1197 804 85 308 1536
mDiffFit 200 1536 2582 3498 916 476 137 303 1536
mDiffFit 118 1536 2544 3564 1020 503 116 401 1536
mDiffFit 309 1536 2653 3558 905 458 133 314 1536
mDiffFit 289 1536 2676 3486 810 452 113 245 1536
mDiffFit 132 1536 2626 3522 896 498 135 263 1536
mDiffFit 175 1536 2640 3550 910 462 115 333 1536
mDiffFit 125 1536 2709 3572 863 483 90 290 1536
mDiffFit 186 1536 2643 3405 762 456 87 219 1536
mDiffFit 143 1536 2710 3578 868 460 147 261 1536
mDiffFit 324 1536 2746 3600 854 465 118 271 1536
mDiffFit 205 1536 2703 3585 882 486 133 263 1536
mDiffFit 129 1536 2757 3634 877 497 90 290 1536
mDiffFit 137 1536 2691 3565 874 456 137 281 1536
mDiffFit 110 1536 2675 3591 916 493 118 305 1536
mDiffFit 111 1536 2729 3610 881 453 142 286 1536
mDiffFit 274 1536 2810 3625 815 428 113 274 1536
mDiffFit 226 1536 2759 3616 857 456 120 281 1536
mDiffFit 340 1536 2789 3599 810 477 87 246 1536
mDiffFit 126 1536 2889 3686 797 473 94 230 1536
mDiffFit 362 1536 2782 3615 833 486 107 240 1536
mDiffFit 193 1536 2562 3665 1103 429 294 380 1536
mDiffFit 363 1536 2698 3641 943 432 186 325 1536
mDiffFit 138 1536 2713 3616 903 551 90 262 1536
mDiffFit 173 1536 2847 3673 826 465 112 249 1536
mDiffFit 155 1536 2868 3682 814 482 86 246 1536
mDiffFit 140 1536 2703 3661 958 513 139 306 1536
mDiffFit 201 1536 2788 3656 868 459 140 269 1536
mDiffFit 136 1536 2975 3693 718 394 86 238 1536
mDiffFit 161 1536 2843 3676 833 477 83 273 1536
mDiffFit 191 1536 2806 3687 881 488 119 274 1536
mDiffFit 278 1536 2942 3707 765 449 95 221 1536
mDiffFit 157 1536 2887 3721 834 476 113 245 1536
mDiffFit 276 1536 3011 3659 648 374 73 201 1536
mDiffFit 229 1536 3042 3738 696 346 81 269 1536
mDiffFit 207 1536 2818 3721 903 443 129 331 1536
mDiffFit 263 1536 3084 3774 690 348 53 289 1536
mDiffFit 121 1536 2816 3716 900 485 122 293 1536
mDiffFit 150 1536 2925 3771 846 465 118 263 1536
mDiffFit 261 1536 3068 3767 699 364 96 239 1536
mDiffFit 318 1536 3030 3728 698 377 71 250 1536
mDiffFit 293 1536 3067 3764 697 347 68 282 1536
mDiffFit 284 1536 3030 3703 673 381 47 245 1536
mDiffFit 134 1536 2852 3756 904 494 131 279 1536
mDiffFit 182 1536 2876 3800 924 480 154 290 1536
mDiffFit 350 1536 2723 3780 1057 429 247 381 1536
mDiffFit 160 1536 2864 3795 931 485 114 332 1536
mDiffFit 338 1536 2955 3805 850 495 97 258 1536
mDiffFit 294 1536 3109 3807 698 424 49 225 1536
mDiffFit 131 1536 3006 3843 837 470 108 259 1536
mDiffFit 337 1536 3164 3807 643 408 43 192 1536
mDiffFit 162 1536 2965 3782 817 483 94 240 1536
mDiffFit 221 1536 2940 3760 820 465 104 251 1536
mDiffFit 332 1536 3127 3852 725 355 113 257 1536
mDiffFit 331 1536 3104 3858 754 389 71 294 1536
mDiffFit 335 1536 2778 3834 1056 403 243 410 1536
mDiffFit 202 1536 2825 3909 1084 454 292 338 1536
mDiffFit 115 1536 2587 3869 1282 955 85 242 1536
mDiffFit 282 1536 3045 3911 866 462 110 294 1536
mDiffFit 296 1536 3241 4018 777 336 114 327 1536
mDiffFit 339 1536 3089 4103 1014 553 170 291 1536
mDiffFit 287 1536 3419 4096 677 363 78 236 1536
mDiffFit 327 1536 3168 4144 976 382 245 349 1536
mDiffFit 298 1536 3180 4135 955 352 227 376 1536
mDiffFit 216 1536 3443 4125 682 388 84 210 1536
mDiffFit 139 1536 2707 4152 1445 1078 91 276 1536
mDiffFit 176 1536 2667 4182 1515 1130 136 249 1536
mDiffFit 250 1536 3555 4222 667 383 60 224 1536
