task id resource request_start request_end request_duration type
execute_case_0_5 11 1024 1680 6994 5314 sdbcs 
execute_case_3_49 205 1024 1504 6571 5067 sdbcs 
execute_case_3_45 201 1536 1504 5118 3614 sdbcs 
execute_case_3_46 202 1024 1505 6566 5061 sdbcs 
execute_case_3_27 183 2048 1505 4494 2989 sdbcs 
execute_case_3_48 204 1024 1506 6544 5038 sdbcs 
execute_case_3_21 177 1024 1506 6584 5078 sdbcs 
execute_case_3_43 199 1024 1507 6486 4979 sdbcs 
execute_case_3_17 173 1024 1507 6588 5081 sdbcs 
execute_case_3_9 165 2048 1508 4570 3062 sdbcs 
execute_case_3_42 198 1024 1511 6517 5006 sdbcs 
execute_case_3_40 196 1024 1511 6648 5137 sdbcs 
execute_case_3_29 185 2048 1512 4934 3422 sdbcs 
execute_case_3_8 164 2048 1513 4575 3062 sdbcs 
execute_case_3_47 203 1024 1513 6667 5154 sdbcs 
execute_case_3_25 181 2048 1514 4656 3142 sdbcs 
execute_case_3_10 166 2048 1514 4579 3065 sdbcs 
execute_case_3_20 176 1024 1514 6637 5123 sdbcs 
execute_case_3_44 200 2048 1517 4722 3205 sdbcs 
execute_case_3_26 182 1024 1517 6614 5097 sdbcs 
execute_case_3_15 171 2048 1518 4584 3066 sdbcs 
execute_case_3_24 180 1024 1518 6665 5147 sdbcs 
execute_case_3_34 190 2048 1519 4647 3128 sdbcs 
execute_case_3_31 187 1024 1519 6686 5167 sdbcs 
execute_case_3_5 161 2048 1521 4690 3169 sdbcs 
execute_case_3_35 191 1024 1522 6687 5165 sdbcs 
execute_case_3_18 174 2048 1522 4636 3114 sdbcs 
execute_case_3_28 184 1024 1523 6652 5129 sdbcs 
execute_case_3_41 197 1024 1523 6606 5083 sdbcs 
execute_case_3_39 195 1024 1524 6837 5313 sdbcs 
execute_case_3_37 193 1024 1524 6665 5141 sdbcs 
execute_case_3_1 157 2048 1525 4658 3133 sdbcs 
execute_case_3_6 162 1024 1525 6646 5121 sdbcs 
execute_case_3_7 163 2048 1525 4644 3119 sdbcs 
execute_case_3_2 158 2048 1526 4670 3144 sdbcs 
execute_case_3_12 168 1024 1533 6678 5145 sdbcs 
execute_case_3_3 159 2048 1533 4647 3114 sdbcs 
execute_case_3_22 178 2048 1540 4641 3101 sdbcs 
execute_case_3_4 160 2048 1541 4686 3145 sdbcs 
execute_case_3_32 188 2048 1546 4658 3112 sdbcs 
execute_case_1_13 69 1024 1635 6839 5204 sdbcs 
execute_case_3_16 172 2048 1547 4655 3108 sdbcs 
execute_case_1_37 93 1024 1635 6659 5024 sdbcs 
execute_case_3_36 192 1024 1547 6689 5142 sdbcs 
execute_case_3_23 179 1024 1548 6725 5177 sdbcs 
execute_case_1_24 80 512 1636 11102 9466 sdbcs 
execute_case_3_11 167 2048 1548 4840 3292 sdbcs 
execute_case_1_31 87 1024 1636 6791 5155 sdbcs 
execute_case_1_36 92 1024 1637 6766 5129 sdbcs 
execute_case_1_25 81 1024 1637 6818 5181 sdbcs 
execute_case_3_13 169 1024 1562 6713 5151 sdbcs 
execute_case_1_38 94 1024 1638 6770 5132 sdbcs 
execute_case_3_30 186 1024 1562 6643 5081 sdbcs 
execute_case_3_14 170 2048 1569 4674 3105 sdbcs 
execute_case_1_32 88 1024 1638 6791 5153 sdbcs 
execute_case_1_1 57 512 1638 10914 9276 sdbcs 
execute_case_1_9 65 1024 1639 6689 5050 sdbcs 
execute_case_1_41 97 1024 1639 6739 5100 sdbcs 
execute_case_1_8 64 1024 1640 6779 5139 sdbcs 
execute_case_1_35 91 1024 1641 6790 5149 sdbcs 
execute_case_1_29 85 1024 1642 6736 5094 sdbcs 
execute_case_1_7 63 1024 1642 6828 5186 sdbcs 
execute_case_1_30 86 1024 1642 6759 5117 sdbcs 
execute_case_3_0 156 2048 1574 4633 3059 sdbcs 
execute_case_1_14 70 1024 1643 6788 5145 sdbcs 
execute_case_1_21 77 512 1643 11153 9510 sdbcs 
execute_case_1_11 67 1024 1644 6763 5119 sdbcs 
execute_case_1_26 82 1024 1645 6850 5205 sdbcs 
execute_case_1_5 61 1024 1645 6801 5156 sdbcs 
execute_case_1_27 83 512 1646 11087 9441 sdbcs 
execute_case_1_42 98 1024 1646 6715 5069 sdbcs 
execute_case_1_39 95 1024 1647 6775 5128 sdbcs 
execute_case_1_33 89 1024 1647 6699 5052 sdbcs 
execute_case_1_43 99 1024 1648 6836 5188 sdbcs 
execute_case_1_3 59 1024 1648 6745 5097 sdbcs 
execute_case_1_4 60 1024 1648 6755 5107 sdbcs 
execute_case_1_22 78 1024 1649 6748 5099 sdbcs 
execute_case_1_19 75 512 1650 10925 9275 sdbcs 
execute_case_1_2 58 512 1650 11107 9457 sdbcs 
execute_case_1_17 73 512 1651 11097 9446 sdbcs 
