type time price
256 29065 0.015425247
512 16377 0.016326384
1024 10358 0.018315329
1536 7656 0.020245595
2048 6573 0.0211709
2560 7575 0.025253912
3008 21906 0.027300775
sdbcs 15128 0.018431126
plan 14975 0.018463625
