task id resource request_start request_end request_duration type
execute_case_0_5 11 1024 1457 6559 5102 sdbcs 
execute_case_3_49 205 1024 1537 6856 5319 sdbcs 
execute_case_3_45 201 1536 1584 5480 3896 sdbcs 
execute_case_3_46 202 1024 1507 6891 5384 sdbcs 
execute_case_3_27 183 2048 1417 4315 2898 sdbcs 
execute_case_3_48 204 1024 1528 6743 5215 sdbcs 
execute_case_3_21 177 1024 1484 6777 5293 sdbcs 
execute_case_3_43 199 1024 1506 6778 5272 sdbcs 
execute_case_3_17 173 1024 1483 6751 5268 sdbcs 
execute_case_3_9 165 2048 1409 4247 2838 sdbcs 
execute_case_3_42 198 1024 1505 6730 5225 sdbcs 
execute_case_3_40 196 1024 1505 6826 5321 sdbcs 
execute_case_3_29 185 2048 1418 4383 2965 sdbcs 
execute_case_3_8 164 2048 1409 4276 2867 sdbcs 
execute_case_3_47 203 1024 1507 6861 5354 sdbcs 
execute_case_3_25 181 2048 1416 4338 2922 sdbcs 
execute_case_3_10 166 2048 1409 4334 2925 sdbcs 
execute_case_3_20 176 1024 1484 6743 5259 sdbcs 
execute_case_3_44 200 2048 1423 4366 2943 sdbcs 
execute_case_3_26 182 1024 1486 6748 5262 sdbcs 
execute_case_3_15 171 2048 1412 4312 2900 sdbcs 
execute_case_3_24 180 1024 1485 6750 5265 sdbcs 
execute_case_3_34 190 2048 1419 4354 2935 sdbcs 
execute_case_3_31 187 1024 1502 6780 5278 sdbcs 
execute_case_3_5 161 2048 1408 4246 2838 sdbcs 
execute_case_3_35 191 1024 1503 6769 5266 sdbcs 
execute_case_3_18 174 2048 1413 4265 2852 sdbcs 
execute_case_3_28 184 1024 1486 6783 5297 sdbcs 
execute_case_3_41 197 1024 1505 6790 5285 sdbcs 
execute_case_3_39 195 1024 1504 6781 5277 sdbcs 
execute_case_3_37 193 1024 1504 6757 5253 sdbcs 
execute_case_3_1 157 2048 1407 4205 2798 sdbcs 
execute_case_3_6 162 1024 1479 6628 5149 sdbcs 
execute_case_3_7 163 2048 1409 4293 2884 sdbcs 
execute_case_3_2 158 2048 1407 4227 2820 sdbcs 
execute_case_3_12 168 1024 1481 6756 5275 sdbcs 
execute_case_3_3 159 2048 1407 4244 2837 sdbcs 
execute_case_3_22 178 2048 1415 4288 2873 sdbcs 
execute_case_3_4 160 2048 1408 4277 2869 sdbcs 
execute_case_3_32 188 2048 1419 4298 2879 sdbcs 
execute_case_1_13 69 1024 1403 6515 5112 sdbcs 
execute_case_3_16 172 2048 1412 4313 2901 sdbcs 
execute_case_1_37 93 1024 1420 6767 5347 sdbcs 
execute_case_3_36 192 1024 1504 6794 5290 sdbcs 
execute_case_3_23 179 1024 1485 6672 5187 sdbcs 
execute_case_1_24 80 512 1350 10470 9120 sdbcs 
execute_case_3_11 167 2048 1410 4254 2844 sdbcs 
execute_case_1_31 87 1024 1410 6906 5496 sdbcs 
execute_case_1_36 92 1024 1413 6646 5233 sdbcs 
execute_case_1_25 81 1024 1408 6709 5301 sdbcs 
execute_case_3_13 169 1024 1481 6725 5244 sdbcs 
execute_case_1_38 94 1024 1420 6755 5335 sdbcs 
execute_case_3_30 186 1024 1502 6768 5266 sdbcs 
execute_case_3_14 170 2048 1411 4408 2997 sdbcs 
execute_case_1_32 88 1024 1411 6780 5369 sdbcs 
execute_case_1_1 57 512 1342 10547 9205 sdbcs 
execute_case_1_9 65 1024 1401 6604 5203 sdbcs 
execute_case_1_41 97 1024 1424 6721 5297 sdbcs 
execute_case_1_8 64 1024 1401 6598 5197 sdbcs 
execute_case_1_35 91 1024 1412 6676 5264 sdbcs 
execute_case_1_29 85 1024 1409 6692 5283 sdbcs 
execute_case_1_7 63 1024 1400 6672 5272 sdbcs 
execute_case_1_30 86 1024 1410 6698 5288 sdbcs 
execute_case_3_0 156 2048 1406 4222 2816 sdbcs 
execute_case_1_14 70 1024 1403 6643 5240 sdbcs 
