task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mBackground 32 512 7807 9232 1425 8477 9710 1233 507 201 525 sdbcs
mBackground 33 512 7809 9406 1597 8462 9923 1461 765 161 535 sdbcs
mBackground 30 256 7808 9451 1643 8447 9956 1509 580 340 589 sdbcs
mBackground 36 512 7809 10020 2211 8465 10404 1939 1295 161 483 sdbcs
mImgtbl 40 512 10026 11864 1838 10622 12127 1505 1138 201 166 sdbcs
mAdd 41 512 11877 16652 4775 12526 17176 4650 3474 580 596 sdbcs
mShrink 42 256 16654 18934 2280 17270 19196 1926 498 500 928 sdbcs
mJPEG 43 256 18938 22308 3370 19552 21818 2266 456 1600 210 sdbcs
mProjectPP 2 2560 6 1791 1785 774 2051 1277 295 543 439 sdbcs
mProjectPP 7 1536 8 1797 1789 788 2186 1398 247 697 454 sdbcs
mProjectPP 9 1536 8 1798 1790 828 2223 1395 247 685 463 sdbcs
mProjectPP 6 1536 7 1799 1792 949 2374 1425 291 687 447 sdbcs
mProjectPP 10 1536 32 1800 1768 796 2207 1411 263 684 464 sdbcs
mProjectPP 5 1536 7 1801 1794 607 2046 1439 294 708 437 sdbcs
mProjectPP 4 1536 7 1802 1795 736 2192 1456 304 699 453 sdbcs
mProjectPP 3 1536 6 1802 1796 780 2272 1492 247 680 565 sdbcs
mProjectPP 8 1536 8 1803 1795 793 2251 1458 282 711 465 sdbcs
mProjectPP 1 1024 0 2004 2004 740 2544 1804 287 1043 474 sdbcs
mDiffFit 19 1536 1835 3165 1330 2524 3235 711 421 62 228 sdbcs
mDiffFit 23 1536 1826 3167 1341 2479 3206 727 426 62 239 sdbcs
mDiffFit 18 1536 1839 3168 1329 2443 3194 751 396 84 271 sdbcs
mDiffFit 26 1536 1826 3169 1343 2687 3441 754 372 92 290 sdbcs
mDiffFit 14 1024 1836 3170 1334 2527 3312 785 441 83 261 sdbcs
mDiffFit 15 1024 1840 3171 1331 2483 3318 835 485 84 266 sdbcs
mDiffFit 12 2560 2015 3171 1156 2635 3333 698 378 47 273 sdbcs
mDiffFit 16 1024 1835 3172 1337 2490 3365 875 418 185 272 sdbcs
mDiffFit 20 1536 1827 3173 1346 2733 3471 738 371 88 279 sdbcs
mDiffFit 11 1536 2024 3173 1149 2704 3508 804 419 119 266 sdbcs
mDiffFit 22 1536 1827 3174 1347 2786 3475 689 417 49 223 sdbcs
mDiffFit 13 1536 2022 3174 1152 2671 3530 859 456 121 282 sdbcs
mDiffFit 21 1536 1827 3175 1348 2786 3545 759 411 90 258 sdbcs
mDiffFit 24 1536 1825 3176 1351 2345 3504 1159 772 95 292 sdbcs
mDiffFit 27 1024 1826 3703 1877 2767 3953 1186 820 88 278 sdbcs
mDiffFit 25 256 1825 4057 2232 2490 4562 2072 1408 382 282 sdbcs
mDiffFit 17 1024 1835 6128 4293 2528 6076 3548 1939 71 1538 sdbcs
mConcatFit 28 512 6136 7416 1280 6771 7727 956 348 473 135 sdbcs
mBgModel 29 2048 7420 9501 2081 8041 9992 1951 128 1692 131 sdbcs
mBackground 39 512 9542 10801 1259 10201 11230 1029 393 158 478 sdbcs
mBackground 34 512 9542 10802 1260 10174 11239 1065 363 165 537 sdbcs
mBackground 38 512 9531 10803 1272 10129 11303 1174 402 159 613 sdbcs
mBackground 35 512 9532 10804 1272 10195 11330 1135 496 146 493 sdbcs
mBackground 36 512 9534 10896 1362 10192 11436 1244 446 162 636 sdbcs
mBackground 37 512 9533 10929 1396 10130 11444 1314 468 181 665 sdbcs
mBackground 33 512 9541 12101 2560 10073 11564 1491 373 163 955 sdbcs
mBackground 32 512 9530 12103 2573 10142 11813 1671 852 146 673 sdbcs
mBackground 30 256 9531 12103 2572 10119 11989 1870 578 341 951 sdbcs
mBackground 31 512 9534 12891 3357 10322 13399 3077 2357 201 519 sdbcs
mImgtbl 40 512 12897 15846 2949 13558 15395 1837 1583 79 175 sdbcs
mAdd 41 512 15853 20251 4398 16478 20340 3862 2842 419 601 sdbcs
mShrink 42 256 20256 21876 1620 20835 22382 1547 483 483 581 sdbcs
mJPEG 43 256 21879 24254 2375 22447 24760 2313 471 1601 241 sdbcs
mProjectPP 2 2560 6 1643 1637 740 1973 1233 273 533 427 sdbcs
mProjectPP 3 1536 7 1646 1639 525 1945 1420 321 684 415 sdbcs
mProjectPP 4 1536 7 1647 1640 771 2164 1393 289 686 418 sdbcs
mProjectPP 9 1536 34 1647 1613 729 2135 1406 285 679 442 sdbcs
mProjectPP 6 1536 8 1648 1640 681 2134 1453 366 686 401 sdbcs
mProjectPP 5 1536 8 1770 1762 734 2302 1568 306 688 574 sdbcs
mProjectPP 10 1536 36 1807 1771 786 2339 1553 298 702 553 sdbcs
mProjectPP 8 1536 33 1819 1786 756 2301 1545 262 683 600 sdbcs
mProjectPP 7 1536 33 1854 1821 940 2551 1611 283 683 645 sdbcs
mProjectPP 1 1024 0 1954 1954 695 2486 1791 290 1032 469 sdbcs
mDiffFit 14 1024 1654 2499 845 2307 3033 726 418 84 224 sdbcs
mDiffFit 19 1536 1780 2573 793 2337 3056 719 397 64 258 sdbcs
mDiffFit 16 1024 1655 2611 956 2280 3152 872 408 170 294 sdbcs
mDiffFit 21 1536 1778 2695 917 2384 3226 842 477 83 282 sdbcs
mDiffFit 18 1536 1828 2749 921 2644 3444 800 423 98 279 sdbcs
mDiffFit 17 1024 1780 2814 1034 2413 3321 908 512 124 272 sdbcs
mDiffFit 26 1536 1866 2862 996 2521 3394 873 410 119 344 sdbcs
mDiffFit 20 1536 1868 2865 997 2589 3428 839 390 122 327 sdbcs
mDiffFit 22 1536 1870 2926 1056 2518 3452 934 651 48 235 sdbcs
mDiffFit 13 1536 1970 2931 961 2433 3284 851 436 108 307 sdbcs
mDiffFit 24 1536 1656 2983 1327 2281 3480 1199 740 88 371 sdbcs
mDiffFit 12 2560 1964 3083 1119 2605 3615 1010 715 45 250 sdbcs
mDiffFit 15 1024 1830 3356 1526 2488 3865 1377 969 123 285 sdbcs
mDiffFit 27 1024 1814 3832 2018 2446 4205 1759 1402 85 272 sdbcs
mDiffFit 11 1536 1970 4352 2382 2609 4635 2026 1590 78 358 sdbcs
mDiffFit 23 1536 1871 7042 5171 3535 7484 3949 3627 62 260 sdbcs
mDiffFit 25 256 1866 9169 7303 5538 9650 4112 3161 661 290 sdbcs
mConcatFit 28 512 9179 11343 2164 9883 10961 1078 400 498 180 sdbcs
mBgModel 29 2048 11348 13493 2145 11998 13967 1969 125 1724 120 sdbcs
mBackground 31 512 13511 15798 2287 14177 15245 1068 400 163 505 sdbcs
mBackground 35 512 13510 15800 2290 14147 15234 1087 371 161 555 sdbcs
mBackground 34 512 13520 15801 2281 14204 15282 1078 389 159 530 sdbcs
mBackground 39 512 13518 15802 2284 14218 15262 1044 412 144 488 sdbcs
mBackground 33 512 13517 15803 2286 14245 15327 1082 408 161 513 sdbcs
mBackground 32 512 13509 15804 2295 14039 15304 1265 408 202 655 sdbcs
mBackground 36 512 13511 15805 2294 14214 15406 1192 424 141 627 sdbcs
mBackground 38 512 13509 15806 2297 14139 15684 1545 920 144 481 sdbcs
mBackground 37 512 13510 15809 2299 14089 15951 1862 1225 162 475 sdbcs
mBackground 30 256 13510 16571 3061 14101 16789 2688 1097 600 991 sdbcs
mImgtbl 40 512 16580 18720 2140 17173 18648 1475 1181 122 172 sdbcs
mAdd 41 512 18728 23323 4595 19297 23405 4108 2897 583 628 sdbcs
mShrink 42 256 23328 25473 2145 23957 25726 1769 601 541 627 sdbcs
mJPEG 43 256 25478 28186 2708 26063 28558 2495 635 1643 217 sdbcs
mProjectPP 7 1536 28 1632 1604 608 1976 1368 270 680 418 sdbcs
mProjectPP 3 1536 6 1637 1631 800 2160 1360 265 684 411 sdbcs
mProjectPP 5 1536 6 1639 1633 762 2158 1396 273 684 439 sdbcs
mProjectPP 2 2560 5 1658 1653 810 2184 1374 271 537 566 sdbcs
mProjectPP 9 1536 30 1671 1641 789 2198 1409 270 670 469 sdbcs
mProjectPP 10 1536 31 1676 1645 740 2182 1442 292 674 476 sdbcs
mProjectPP 8 1536 30 1682 1652 831 2244 1413 264 693 456 sdbcs
mProjectPP 4 1536 6 2179 2173 969 2678 1709 274 698 737 sdbcs
mProjectPP 6 1536 7 2181 2174 853 2551 1698 288 697 713 sdbcs
mProjectPP 1 1024 0 2183 2183 798 2647 1849 291 1031 527 sdbcs
mDiffFit 27 1024 1680 3007 1327 2303 3066 763 416 87 260 sdbcs
mDiffFit 17 1024 1647 3008 1361 2307 3160 853 525 83 245 sdbcs
mDiffFit 15 1024 1687 3009 1322 2355 3176 821 462 102 257 sdbcs
mDiffFit 26 1536 1679 3010 1331 2322 3162 840 450 95 295 sdbcs
mDiffFit 18 1536 1686 3011 1325 2346 3269 923 417 80 426 sdbcs
mDiffFit 22 1536 1646 3038 1392 2767 3569 802 454 84 264 sdbcs
mDiffFit 12 2560 2213 3118 905 2886 3650 764 422 47 295 sdbcs
mDiffFit 21 1536 2213 3124 911 3011 3820 809 406 116 287 sdbcs
mDiffFit 24 1536 2212 3145 933 2916 3711 795 421 88 286 sdbcs
mDiffFit 20 1536 2208 3218 1010 2833 3700 867 439 102 326 sdbcs
mDiffFit 16 1024 2212 3219 1007 2885 3745 860 475 125 260 sdbcs
mDiffFit 23 1536 2212 3267 1055 2842 3795 953 624 54 275 sdbcs
mDiffFit 13 1536 2215 3304 1089 2841 3831 990 645 92 253 sdbcs
mDiffFit 11 1536 2220 3403 1183 2850 3934 1084 709 86 289 sdbcs
mDiffFit 19 1536 2209 3507 1298 2683 3847 1164 841 67 256 sdbcs
mDiffFit 14 1024 1661 3527 1866 2351 4068 1717 1406 67 244 sdbcs
mDiffFit 25 256 1675 4346 2671 2283 4830 2547 1747 540 260 sdbcs
mConcatFit 28 512 4353 5574 1221 4949 6009 1060 355 505 200 sdbcs
mBgModel 29 2048 5579 7636 2057 6198 8185 1987 137 1732 118 sdbcs
mBackground 35 512 7653 8958 1305 8256 9264 1008 375 158 475 sdbcs
mBackground 37 512 7653 8960 1307 8294 9348 1054 409 161 484 sdbcs
mBackground 36 512 7653 8962 1309 8155 9229 1074 422 163 489 sdbcs
mBackground 39 512 7659 8963 1304 8316 9359 1043 395 159 489 sdbcs
mBackground 33 512 7654 8964 1310 8284 9365 1081 402 178 501 sdbcs
mBackground 38 512 7652 8973 1321 8214 9326 1112 372 240 500 sdbcs
mBackground 32 512 7652 8974 1322 8283 9423 1140 468 161 511 sdbcs
mBackground 31 512 7653 8974 1321 8288 9387 1099 461 141 497 sdbcs
mBackground 34 512 7660 8981 1321 8262 9503 1241 600 160 481 sdbcs
mBackground 30 256 7652 9577 1925 8291 9786 1495 579 301 615 sdbcs
mImgtbl 40 512 9584 11417 1833 10216 11578 1362 1146 63 153 sdbcs
mAdd 41 512 11429 15723 4294 12073 15666 3593 2391 539 663 sdbcs
mShrink 42 256 15731 17421 1690 16301 17924 1623 529 443 651 sdbcs
mJPEG 43 256 17425 20016 2591 18044 20320 2276 467 1563 246 sdbcs
