task id resource request_start request_end request_duration type
generateData 1 1536 0 781 781 sdbcs 
create_dat_2 4 512 791 1800 1009 sdbcs 
create_dat_3 5 512 794 1801 1007 sdbcs 
create_dat_1 3 512 789 1748 959 sdbcs 
create_dat_0 2 512 787 1763 976 sdbcs 
execute_case_0_1 7 1536 1818 5370 3552 sdbcs 
execute_case_0_0 6 1536 1811 5280 3469 sdbcs 
execute_case_0_13 19 1536 1808 5320 3512 sdbcs 
execute_case_0_15 21 1536 1809 5302 3493 sdbcs 
execute_case_0_2 8 1536 1818 5363 3545 sdbcs 
execute_case_0_6 12 1536 1806 5292 3486 sdbcs 
execute_case_0_19 25 1536 1811 5308 3497 sdbcs 
execute_case_0_14 20 1536 1808 5414 3606 sdbcs 
execute_case_0_10 16 1536 1807 5304 3497 sdbcs 
execute_case_0_17 23 1536 1810 5312 3502 sdbcs 
execute_case_3_4 70 1536 1873 5397 3524 sdbcs 
execute_case_0_12 18 1536 1808 5303 3495 sdbcs 
execute_case_0_16 22 1536 1810 5329 3519 sdbcs 
execute_case_2_4 50 1024 1852 6964 5112 sdbcs 
execute_case_0_9 15 1536 1807 5376 3569 sdbcs 
execute_case_2_14 60 1536 1882 5470 3588 sdbcs 
execute_case_0_3 9 1536 1835 5344 3509 sdbcs 
execute_case_3_14 80 1024 1878 7182 5304 sdbcs 
execute_case_2_17 63 1536 1883 5494 3611 sdbcs 
execute_case_2_18 64 1024 1865 7129 5264 sdbcs 
execute_case_0_18 24 1536 1810 5322 3512 sdbcs 
execute_case_2_13 59 1536 1882 5438 3556 sdbcs 
execute_case_3_1 67 1024 1872 7198 5326 sdbcs 
execute_case_2_7 53 1536 1880 5458 3578 sdbcs 
execute_case_0_7 13 1536 1806 5347 3541 sdbcs 
execute_case_2_19 65 1536 1892 5477 3585 sdbcs 
execute_case_2_5 51 1536 1879 5498 3619 sdbcs 
execute_case_2_2 48 1536 1878 5415 3537 sdbcs 
execute_case_0_4 10 1536 1805 5278 3473 sdbcs 
execute_case_2_11 57 1536 1881 5510 3629 sdbcs 
execute_case_2_3 49 1024 1851 7039 5188 sdbcs 
execute_case_0_5 11 1536 1805 5350 3545 sdbcs 
execute_case_0_8 14 1536 1806 5383 3577 sdbcs 
execute_case_2_10 56 1024 1854 7107 5253 sdbcs 
execute_case_0_11 17 1536 1807 5292 3485 sdbcs 
execute_case_3_6 72 1536 1873 5596 3723 sdbcs 
execute_case_3_3 69 1024 1872 6918 5046 sdbcs 
execute_case_3_5 71 1536 1873 5573 3700 sdbcs 
execute_case_2_16 62 1536 1883 5462 3579 sdbcs 
execute_case_2_1 47 1536 1878 5475 3597 sdbcs 
execute_case_3_16 82 2048 1909 4776 2867 sdbcs 
execute_case_2_8 54 1024 1853 7010 5157 sdbcs 
execute_case_2_15 61 1536 1882 5416 3534 sdbcs 
execute_case_2_12 58 1536 1881 5457 3576 sdbcs 
execute_case_3_18 84 1536 1887 5640 3753 sdbcs 
execute_case_3_17 83 1536 1883 5522 3639 sdbcs 
execute_case_2_6 52 1536 1879 5413 3534 sdbcs 
execute_case_3_7 73 1536 1874 5519 3645 sdbcs 
execute_case_3_11 77 1024 1876 7165 5289 sdbcs 
execute_case_2_0 46 1024 1850 7050 5200 sdbcs 
execute_case_3_12 78 1536 1875 5541 3666 sdbcs 
execute_case_3_10 76 1536 1875 5576 3701 sdbcs 
execute_case_3_9 75 1536 1874 5560 3686 sdbcs 
execute_case_3_8 74 1024 1874 7166 5292 sdbcs 
execute_case_2_9 55 1536 1880 5437 3557 sdbcs 
execute_case_3_19 85 1024 1879 7145 5266 sdbcs 
execute_case_3_2 68 1536 1872 5374 3502 sdbcs 
execute_case_3_15 81 1536 1876 5531 3655 sdbcs 
execute_case_3_13 79 1536 1875 5488 3613 sdbcs 
execute_case_3_0 66 1024 1872 6868 4996 sdbcs 
execute_case_1_16 42 1536 1810 5497 3687 sdbcs 
execute_case_1_14 40 1536 1810 5508 3698 sdbcs 
execute_case_1_3 29 1536 1806 5498 3692 sdbcs 
execute_case_1_12 38 1536 1809 5431 3622 sdbcs 
execute_case_1_11 37 2048 1805 4640 2835 sdbcs 
execute_case_1_9 35 2048 1805 4694 2889 sdbcs 
execute_case_1_5 31 2048 1800 4662 2862 sdbcs 
execute_case_1_10 36 1536 1808 5506 3698 sdbcs 
execute_case_1_1 27 1536 1806 5491 3685 sdbcs 
execute_case_1_19 45 1536 1828 5526 3698 sdbcs 
execute_case_1_8 34 1536 1808 5464 3656 sdbcs 
execute_case_1_15 41 2048 1808 4656 2848 sdbcs 
execute_case_1_13 39 1024 1857 7090 5233 sdbcs 
execute_case_1_4 30 2048 1797 4629 2832 sdbcs 
execute_case_1_17 43 2048 1813 4692 2879 sdbcs 
execute_case_1_18 44 1536 1811 5499 3688 sdbcs 
execute_case_1_2 28 1536 1806 5372 3566 sdbcs 
execute_case_1_7 33 1536 1808 5436 3628 sdbcs 
execute_case_1_6 32 1536 1807 5507 3700 sdbcs 
execute_case_1_0 26 2048 1793 4613 2820 sdbcs 
average_result_2 88 512 7423 8404 981 sdbcs 
average_result_3 89 512 7445 8486 1041 sdbcs 
average_result_0 86 512 5681 6767 1086 sdbcs 
average_result_1 87 512 7309 8358 1049 sdbcs 
summary 90 256 9122 10737 1615 sdbcs 
