task id resource request_start request_end request_duration type
generateData 1 1536 0 642 642 sdbcs 
create_dat_2 4 512 649 1727 1078 sdbcs 
create_dat_3 5 512 650 1721 1071 sdbcs 
create_dat_1 3 512 652 1708 1056 sdbcs 
create_dat_0 2 512 654 1768 1114 sdbcs 
execute_case_0_1 7 1536 1826 5586 3760 sdbcs 
execute_case_0_0 6 1536 1835 5618 3783 sdbcs 
execute_case_0_13 19 1536 1844 5643 3799 sdbcs 
execute_case_0_15 21 1536 1847 5572 3725 sdbcs 
execute_case_0_2 8 1536 1818 5578 3760 sdbcs 
execute_case_0_6 12 1536 1818 5538 3720 sdbcs 
execute_case_0_19 25 1536 1819 5589 3770 sdbcs 
execute_case_0_14 20 1536 1819 5563 3744 sdbcs 
execute_case_0_10 16 1536 1819 5545 3726 sdbcs 
execute_case_0_17 23 1536 1819 5533 3714 sdbcs 
execute_case_3_4 70 1536 1755 5270 3515 sdbcs 
execute_case_0_12 18 1536 1820 5519 3699 sdbcs 
execute_case_0_16 22 1536 1820 5537 3717 sdbcs 
execute_case_2_4 50 1024 1770 7046 5276 sdbcs 
execute_case_0_9 15 1536 1820 5622 3802 sdbcs 
execute_case_2_14 60 1536 1771 5447 3676 sdbcs 
execute_case_0_3 9 1536 1821 5570 3749 sdbcs 
execute_case_3_14 80 1024 1755 6713 4958 sdbcs 
execute_case_2_17 63 1536 1772 5465 3693 sdbcs 
execute_case_2_18 64 1024 1772 7010 5238 sdbcs 
execute_case_0_18 24 1536 1821 5568 3747 sdbcs 
execute_case_2_13 59 1536 1772 5459 3687 sdbcs 
execute_case_3_1 67 1024 1756 6710 4954 sdbcs 
execute_case_2_7 53 1536 1773 5457 3684 sdbcs 
execute_case_0_7 13 1536 1821 5573 3752 sdbcs 
execute_case_2_19 65 1536 1773 5471 3698 sdbcs 
execute_case_2_5 51 1536 1774 5473 3699 sdbcs 
execute_case_2_2 48 1536 1774 5409 3635 sdbcs 
execute_case_0_4 10 1536 1822 5613 3791 sdbcs 
execute_case_2_11 57 1536 1775 5545 3770 sdbcs 
execute_case_2_3 49 1024 1775 7027 5252 sdbcs 
execute_case_0_5 11 1536 1822 5576 3754 sdbcs 
execute_case_0_8 14 1536 1823 5592 3769 sdbcs 
execute_case_2_10 56 1024 1775 7072 5297 sdbcs 
execute_case_0_11 17 1536 1826 5624 3798 sdbcs 
execute_case_3_6 72 1536 1756 5258 3502 sdbcs 
execute_case_3_3 69 1024 1756 6779 5023 sdbcs 
execute_case_3_5 71 1536 1757 5296 3539 sdbcs 
execute_case_2_16 62 1536 1776 5476 3700 sdbcs 
execute_case_2_1 47 1536 1776 5544 3768 sdbcs 
execute_case_3_16 82 2048 1757 4672 2915 sdbcs 
execute_case_2_8 54 1024 1776 7117 5341 sdbcs 
execute_case_2_15 61 1536 1777 5504 3727 sdbcs 
execute_case_2_12 58 1536 1777 5487 3710 sdbcs 
execute_case_3_18 84 1536 1757 5308 3551 sdbcs 
execute_case_3_17 83 1536 1758 5333 3575 sdbcs 
execute_case_2_6 52 1536 1780 5547 3767 sdbcs 
execute_case_3_7 73 1536 1758 5327 3569 sdbcs 
execute_case_3_11 77 1024 1758 6753 4995 sdbcs 
execute_case_2_0 46 1024 1780 7093 5313 sdbcs 
execute_case_3_12 78 1536 1759 5250 3491 sdbcs 
execute_case_3_10 76 1536 1759 5338 3579 sdbcs 
execute_case_3_9 75 1536 1759 5254 3495 sdbcs 
execute_case_3_8 74 1024 1759 6727 4968 sdbcs 
execute_case_2_9 55 1536 1788 5516 3728 sdbcs 
execute_case_3_19 85 1024 1760 6797 5037 sdbcs 
execute_case_3_2 68 1536 1764 5308 3544 sdbcs 
execute_case_3_15 81 1536 1764 5280 3516 sdbcs 
execute_case_3_13 79 1536 1768 5279 3511 sdbcs 
execute_case_3_0 66 1024 1774 6741 4967 sdbcs 
execute_case_1_16 42 1536 1745 5282 3537 sdbcs 
execute_case_1_14 40 1536 1745 5229 3484 sdbcs 
execute_case_1_3 29 1536 1746 5314 3568 sdbcs 
execute_case_1_12 38 1536 1746 5310 3564 sdbcs 
execute_case_1_11 37 2048 1746 4670 2924 sdbcs 
execute_case_1_9 35 2048 1747 4763 3016 sdbcs 
execute_case_1_5 31 2048 1747 4717 2970 sdbcs 
execute_case_1_10 36 1536 1748 20755 19007 sdbcs 
execute_case_1_1 27 1536 1748 5275 3527 sdbcs 
execute_case_1_19 45 1536 1748 5352 3604 sdbcs 
execute_case_1_8 34 1536 1749 5298 3549 sdbcs 
execute_case_1_15 41 2048 1749 4735 2986 sdbcs 
execute_case_1_13 39 1024 1750 6697 4947 sdbcs 
execute_case_1_4 30 2048 1750 4703 2953 sdbcs 
execute_case_1_17 43 2048 1751 4694 2943 sdbcs 
execute_case_1_18 44 1536 1754 5351 3597 sdbcs 
execute_case_1_2 28 1536 1754 5324 3570 sdbcs 
execute_case_1_7 33 1536 1755 5282 3527 sdbcs 
execute_case_1_6 32 1536 1758 5312 3554 sdbcs 
execute_case_1_0 26 2048 1769 4791 3022 sdbcs 
average_result_2 88 512 7184 8246 1062 sdbcs 
average_result_3 89 512 6830 7809 979 sdbcs 
average_result_0 86 512 5713 6705 992 sdbcs 
average_result_1 87 512 21905 22824 919 sdbcs 
summary 90 256 23296 24868 1572 sdbcs 
