type time price
256 26479 0.006101544
512 14576 0.006401784
1024 9654 0.007194772
1536 7193 0.007548018
2048 6902 0.008528372
2560 6085 0.008957032
3008 6383 0.010729327
sdbcs 24868 0.007861106
plan 9770 0.007368828
