type time price
256 56970 0.000901137
512 30588 0.00095493
1024 20511 0.001098553
1536 20846 0.00160064
2048 15803 0.001813696
2560 15931 0.002254888
3008 17606 0.002747217
real 26010 0.001038711
sdbws 23076 0.001004556
