task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mJPEG 43 256 50119 53175 3056 50814 53519 2705 781 1703 221 256
mProjectPP 6 256 7 5692 5685 756 5954 5198 319 4282 597 256
mProjectPP 5 256 7 5696 5689 695 5953 5258 382 4240 636 256
mProjectPP 9 256 34 5697 5663 767 5998 5231 360 4221 650 256
mProjectPP 7 256 8 5697 5689 741 5978 5237 382 4281 574 256
mProjectPP 3 256 6 5698 5692 722 6035 5313 378 4361 574 256
mProjectPP 4 256 7 5699 5692 686 5965 5279 351 4339 589 256
mProjectPP 8 256 8 5699 5691 754 6062 5308 408 4301 599 256
mProjectPP 1 256 0 5700 5700 815 6151 5336 404 4283 649 256
mProjectPP 10 256 36 5700 5664 727 6081 5354 380 4322 652 256
mProjectPP 2 256 6 5701 5695 760 6148 5388 431 4401 556 256
mDiffFit 17 256 5734 8038 2304 6491 8597 2106 1463 319 324 256
mDiffFit 14 256 5738 8115 2377 6464 8675 2211 1398 522 291 256
mDiffFit 22 256 5733 8186 2453 6396 8730 2334 1686 324 324 256
mDiffFit 27 256 5738 8188 2450 6397 8719 2322 1641 359 322 256
mDiffFit 25 256 5733 8305 2572 6379 8848 2469 1711 498 260 256
mDiffFit 16 256 5735 8384 2649 6455 8946 2491 1561 600 330 256
mDiffFit 20 256 5735 8403 2668 6345 8891 2546 1511 720 315 256
mDiffFit 23 256 5734 8458 2724 6428 9022 2594 1780 502 312 256
mDiffFit 24 256 5733 8473 2740 6468 9103 2635 1693 600 342 256
mDiffFit 18 256 5736 8548 2812 6404 9088 2684 1739 563 382 256
mDiffFit 11 256 5768 8560 2792 6409 9099 2690 1813 543 334 256
mDiffFit 19 256 5734 8590 2856 6481 9170 2689 1840 503 346 256
mDiffFit 12 256 5736 8629 2893 6418 9190 2772 1905 542 325 256
mDiffFit 13 256 5737 8630 2893 6457 9181 2724 1620 722 382 256
mDiffFit 26 256 5737 8907 3170 6418 9432 3014 1879 740 395 256
mDiffFit 15 256 5767 8969 3202 6702 9556 2854 2140 364 350 256
