task id resource request_start request_end request_duration start end time downloaded executed uploaded type
generateData.js 1 256 0 3200 3200 2417 4444 2027 966 822 239 256
createDat.js 3 256 3208 5005 1797 4952 6119 1167 141 791 235 256
createDat.js 2 256 3206 6214 3008 5444 7437 1993 944 803 246 256
createDat.js 4 256 3210 6254 3044 5416 7376 1960 920 821 219 256
createDat.js 5 256 3211 6281 3070 5402 7459 2057 944 822 291 256
ellipsoids-openmp 9 256 5017 22630 17613 6457 23703 17246 135 16813 298 256
ellipsoids-openmp 8 256 6225 23439 17214 7598 24236 16638 131 16228 279 256
ellipsoids-openmp 6 256 6222 23508 17286 7674 24739 17065 121 16674 270 256
ellipsoids-openmp 7 256 6222 23644 17422 7588 24827 17239 146 16813 280 256
ellipsoids-openmp 10 256 5013 24257 19244 7002 25340 18338 965 17042 331 256
ellipsoids-openmp 11 256 5013 24669 19656 7001 25692 18691 968 17341 382 256
mean-pack-ell 18 256 23649 24670 1021 25047 25687 640 329 151 160 256
ellipsoids-openmp 17 256 6289 25281 18992 8285 26231 17946 903 16701 342 256
mean-pack-ell 19 256 24677 25338 661 26050 26523 473 256 3 214 256
ellipsoids-openmp 13 256 6263 25425 19162 8267 26692 18425 930 17141 354 256
ellipsoids-openmp 15 256 6284 25503 19219 8171 26586 18415 935 17162 318 256
ellipsoids-openmp 16 256 6287 25551 19264 8261 26808 18547 925 17200 422 256
ellipsoids-openmp 14 256 6264 25645 19381 8230 26803 18573 901 17301 371 256
ellipsoids-openmp 12 256 6261 26228 19967 8266 27386 19120 1020 17820 280 256
mean-pack-ell 21 256 25558 26312 754 26948 27486 538 242 142 154 256
mean-pack-ell 20 256 26233 27328 1095 27586 28047 461 245 20 196 256
summary.js 22 256 27334 28967 1633 28685 30045 1360 365 841 154 256
generateData.js 1 256 0 1921 1921 1615 2723 1108 143 801 164 256
createDat.js 3 256 1929 3452 1523 3296 4448 1152 209 794 149 256
createDat.js 4 256 1930 3453 1523 3353 4509 1156 181 801 174 256
createDat.js 2 256 1927 3456 1529 3274 4411 1137 153 807 177 256
createDat.js 5 256 1932 3457 1525 3416 4611 1195 197 841 157 256
ellipsoids-openmp 10 256 3470 20247 16777 4778 21323 16545 174 16101 270 256
ellipsoids-openmp 11 256 3471 20559 17088 4888 21699 16811 136 16389 286 256
ellipsoids-openmp 9 256 3471 20569 17098 4903 21793 16890 169 16482 239 256
ellipsoids-openmp 17 256 3485 20721 17236 5216 21938 16722 146 16273 303 256
