type time price
256 56192 0.000751851
512 28043 0.000955764
1024 20476 0.001378609
1536 22295 0.001780712
2048 26238 0.00313396
2560 16084 0.002738376
3008 16285 0.003276093
sdbcs 23410 0.001277219
plan 22525 0.001265955
