task id resource start end time type
mProjectPP 1 3008 0 1959 1959 dbws 
mProjectPP 3 3008 0 1934 1934 dbws 
mProjectPP 4 3008 0 2457 2457 dbws 
mProjectPP 5 3008 0 1878 1878 dbws 
mProjectPP 6 3008 0 2186 2186 dbws 
mProjectPP 7 3008 0 1930 1930 dbws 
mProjectPP 8 3008 0 2282 2282 dbws 
mProjectPP 9 3008 0 2155 2155 dbws 
mProjectPP 10 3008 0 1803 1803 dbws 
mProjectPP 2 3008 0 1912 1912 dbws 
mDiffFit 11 3008 1959 3559 1600 dbws 
mDiffFit 12 3008 1959 3782 1823 dbws 
mDiffFit 13 3008 1959 3536 1577 dbws 
mDiffFit 14 3008 1934 3680 1746 dbws 
mDiffFit 15 3008 2282 4541 2259 dbws 
mDiffFit 16 3008 2457 4579 2122 dbws 
mDiffFit 17 3008 1934 4103 2169 dbws 
mDiffFit 18 3008 2282 3738 1456 dbws 
mDiffFit 19 3008 2457 4498 2041 dbws 
mDiffFit 20 3008 2457 4085 1628 dbws 
mDiffFit 21 3008 2186 4337 2151 dbws 
mDiffFit 22 3008 1930 4213 2283 dbws 
mDiffFit 23 3008 2186 3608 1422 dbws 
mDiffFit 24 3008 2186 3656 1470 dbws 
mDiffFit 25 3008 2155 3589 1434 dbws 
mDiffFit 26 3008 1930 3308 1378 dbws 
mDiffFit 27 3008 2155 3733 1578 dbws 
mConcatFit 28 3008 4579 5018 439 dbws 
mBgModel 29 3008 5018 7119 2101 dbws 
mBackground 30 3008 7119 9049 1930 dbws 
mBackground 31 3008 7119 8746 1627 dbws 
mBackground 32 3008 7119 9007 1888 dbws 
mBackground 33 3008 7119 9093 1974 dbws 
mBackground 34 3008 7119 8912 1793 dbws 
mBackground 35 3008 7119 8438 1319 dbws 
mBackground 36 3008 7119 8488 1369 dbws 
mBackground 37 3008 7119 8611 1492 dbws 
mBackground 38 3008 7119 8996 1877 dbws 
mBackground 39 3008 7119 9155 2036 dbws 
mImgtbl 40 3008 9155 11956 2801 dbws 
mAdd 41 3008 11956 15913 3957 dbws 
mShrink 42 3008 15913 18804 2891 dbws 
mJPEG 43 3008 18804 20213 1409 dbws 
