type time price
256 25498 0.000967023
512 13517 0.000976614
1024 13378 0.001468627
1536 12567 0.001993297
2048 13327 0.00248383
2560 11655 0.002850912
3008 14770 0.003986158
sdbws 17358 0.001709858
plan 12381 0.001274685
