task id resource request_start request_end request_duration type
generateData 1 1536 0 1625 1625 sdbws 
create_dat_0 2 1024 1633 2446 813 sdbws 
create_dat_1 3 1024 1636 2442 806 sdbws 
create_dat_2 4 1024 1637 2448 811 sdbws 
create_dat_3 5 1024 1639 2470 831 sdbws 
execute_case_0_0 6 512 2465 13661 11196 sdbws 
execute_case_0_1 7 512 2467 15225 12758 sdbws 
execute_case_0_2 8 1024 2469 9526 7057 sdbws 
execute_case_1_0 9 2560 2463 7034 4571 sdbws 
execute_case_1_1 10 2048 2459 6561 4102 sdbws 
execute_case_1_2 11 2048 2461 6609 4148 sdbws 
execute_case_2_0 12 2560 2466 6205 3739 sdbws 
execute_case_2_1 13 1536 2468 7237 4769 sdbws 
execute_case_2_2 14 1536 2469 8162 5693 sdbws 
execute_case_3_0 15 1536 2488 7937 5449 sdbws 
execute_case_3_1 16 1536 2489 8062 5573 sdbws 
execute_case_3_2 17 512 2490 12860 10370 sdbws 
average_result_0 18 512 15292 16026 734 sdbws 
average_result_1 19 512 7351 8103 752 sdbws 
average_result_2 20 256 8177 9027 850 sdbws 
average_result_3 21 256 12869 13881 1012 sdbws 
summary 22 512 16207 17358 1151 sdbws 
