task id resource start end time downloaded executed uploaded type
mDiffFit 25 512 3063 4212 1149 687 182 280 sdbws
mDiffFit 14 1024 3292 4256 964 611 119 234 sdbws
mDiffFit 27 512 3080 4259 1179 755 122 302 sdbws
mDiffFit 20 512 3075 4462 1387 811 264 312 sdbws
mDiffFit 12 512 3173 4472 1299 846 180 273 sdbws
mDiffFit 13 512 3228 4472 1244 672 264 308 sdbws
mDiffFit 11 512 3254 4584 1330 714 262 354 sdbws
mDiffFit 23 512 3078 4587 1509 983 244 282 sdbws
mDiffFit 26 512 3095 4695 1600 958 280 362 sdbws
mDiffFit 15 512 3351 4880 1529 998 242 289 sdbws
mDiffFit 22 256 3103 4996 1893 1257 320 316 sdbws
mConcatFit 28 512 5191 6299 1108 447 497 164 sdbws
mBgModel 29 1536 6393 8736 2343 113 2095 135 sdbws
mBackground 30 512 9119 10382 1263 391 200 672 sdbws
mBackground 33 256 9059 10533 1474 602 320 552 sdbws
mBackground 31 256 9137 10674 1537 580 322 635 sdbws
mBackground 36 256 9234 10759 1525 600 323 602 sdbws
mBackground 34 256 9145 10691 1546 636 284 626 sdbws
mBackground 38 256 9163 10691 1528 606 322 600 sdbws
mBackground 39 256 9170 10770 1600 614 342 644 sdbws
mBackground 35 256 9178 10794 1616 670 320 626 sdbws
mBackground 37 256 9133 11022 1889 545 360 984 sdbws
mBackground 32 256 9138 11691 2553 1016 524 1013 sdbws
mImgtbl 40 512 11907 13649 1742 1382 221 139 sdbws
mAdd 41 1024 13822 16006 2184 1397 246 541 sdbws
mShrink 42 256 16240 18116 1876 634 462 780 sdbws
mJPEG 43 256 18228 20478 2250 486 1543 221 sdbws
mProjectPP 6 1024 51 1749 1698 276 1014 408 sdbws
mProjectPP 3 1024 79 1833 1754 283 1034 437 sdbws
mProjectPP 4 1024 80 1850 1770 350 1017 403 sdbws
mProjectPP 5 1024 0 1827 1827 305 1030 492 sdbws
mProjectPP 9 1024 66 1930 1864 313 1037 514 sdbws
mProjectPP 8 1024 68 2502 2434 981 1020 433 sdbws
mProjectPP 10 512 29 2860 2831 271 2058 502 sdbws
mProjectPP 1 512 59 2887 2828 284 2041 503 sdbws
mProjectPP 2 512 32 3056 3024 345 2135 544 sdbws
mProjectPP 7 512 72 3085 3013 338 2103 572 sdbws
mDiffFit 21 512 2022 3434 1412 799 263 350 sdbws
mDiffFit 16 512 2086 3500 1414 820 280 314 sdbws
mDiffFit 19 512 2122 3531 1409 878 281 250 sdbws
mDiffFit 24 512 2075 3571 1496 900 282 314 sdbws
mDiffFit 18 1024 2651 3925 1274 842 124 308 sdbws
mDiffFit 14 1024 3194 4063 869 518 124 227 sdbws
mDiffFit 12 512 3008 4236 1228 775 166 287 sdbws
mDiffFit 27 512 3030 4308 1278 781 186 311 sdbws
mDiffFit 13 512 3017 4335 1318 738 247 333 sdbws
mDiffFit 17 256 2076 4374 2298 1503 480 315 sdbws
mDiffFit 23 512 3234 4468 1234 778 179 277 sdbws
mDiffFit 26 512 3188 4431 1243 651 278 314 sdbws
mDiffFit 25 512 3239 4538 1299 795 241 263 sdbws
mDiffFit 11 512 3251 4577 1326 705 261 360 sdbws
mDiffFit 20 512 3278 4654 1376 839 263 274 sdbws
mDiffFit 15 512 3221 5114 1893 1412 197 284 sdbws
mDiffFit 22 256 3203 5360 2157 1498 364 295 sdbws
mConcatFit 28 512 5763 6713 950 329 461 160 sdbws
mBgModel 29 1536 7007 9373 2366 112 2108 146 sdbws
mBackground 30 512 9772 10851 1079 378 144 557 sdbws
mBackground 33 256 9764 11277 1513 562 311 640 sdbws
mBackground 34 256 9765 11238 1473 598 301 574 sdbws
mBackground 38 256 9729 11206 1477 574 320 583 sdbws
mBackground 39 256 9753 11278 1525 598 323 604 sdbws
mBackground 31 256 9721 11364 1643 599 302 742 sdbws
mBackground 35 256 9836 11500 1664 560 321 783 sdbws
mBackground 32 256 9766 11501 1735 780 321 634 sdbws
mBackground 37 256 9802 11522 1720 537 343 840 sdbws
mBackground 36 256 9751 12253 2502 1499 302 701 sdbws
mImgtbl 40 512 12563 14185 1622 1328 121 173 sdbws
mAdd 41 1024 14515 16753 2238 1420 262 556 sdbws
mShrink 42 256 17104 18972 1868 627 562 679 sdbws
mJPEG 43 256 19261 21622 2361 529 1641 191 sdbws
mProjectPP 5 1024 0 1722 1722 271 1022 429 sdbws
mProjectPP 3 1024 13 1740 1727 237 1027 463 sdbws
mProjectPP 4 1024 7 1719 1712 266 1008 438 sdbws
mProjectPP 6 1024 53 1796 1743 286 1021 436 sdbws
mProjectPP 9 1024 59 1804 1745 264 1025 456 sdbws
mProjectPP 8 1024 58 1860 1802 280 1012 510 sdbws
mProjectPP 10 512 54 2919 2865 299 2082 484 sdbws
mProjectPP 2 512 44 2945 2901 315 2061 525 sdbws
mProjectPP 7 512 53 2974 2921 269 2118 534 sdbws
mDiffFit 18 1024 2039 2995 956 456 175 325 sdbws
mProjectPP 1 512 13 2991 2978 279 2146 553 sdbws
mDiffFit 21 512 1961 3232 1271 656 263 352 sdbws
mDiffFit 16 512 1951 3289 1338 759 263 316 sdbws
mDiffFit 24 512 1973 3306 1333 700 264 369 sdbws
mDiffFit 19 512 1827 3648 1821 1352 183 286 sdbws
mDiffFit 14 1024 3299 4112 813 451 120 242 sdbws
mDiffFit 17 256 1935 4243 2308 1499 501 308 sdbws
mDiffFit 25 512 3252 4382 1130 705 164 261 sdbws
mDiffFit 27 512 3285 4401 1116 680 166 270 sdbws
mDiffFit 12 512 3268 4445 1177 752 181 244 sdbws
mDiffFit 13 512 3275 4518 1243 659 263 321 sdbws
mDiffFit 26 512 3271 4532 1261 709 280 272 sdbws
mDiffFit 15 512 3263 4582 1319 777 262 280 sdbws
mDiffFit 20 512 3255 4626 1371 798 262 311 sdbws
mDiffFit 23 512 3295 4633 1338 891 178 269 sdbws
mDiffFit 11 512 3316 5186 1870 1297 262 311 sdbws
mDiffFit 22 256 3314 5674 2360 1547 502 311 sdbws
mConcatFit 28 512 5881 6861 980 338 514 128 sdbws
mBgModel 29 1536 7054 9395 2341 117 2082 142 sdbws
mBackground 30 512 9760 10888 1128 393 161 574 sdbws
mBackground 35 256 9794 11252 1458 538 302 618 sdbws
mBackground 33 256 9782 11314 1532 619 360 553 sdbws
mBackground 34 256 9784 11284 1500 538 321 641 sdbws
mBackground 31 256 9811 11323 1512 617 323 572 sdbws
mBackground 37 256 9762 11357 1595 543 301 751 sdbws
mBackground 32 256 9878 11611 1733 740 340 653 sdbws
mBackground 39 256 9826 11776 1950 719 461 770 sdbws
mBackground 38 256 10102 11831 1729 717 322 690 sdbws
mBackground 36 256 9813 11885 2072 860 341 871 sdbws
mImgtbl 40 512 12041 13470 1429 1052 200 177 sdbws
mAdd 41 1024 13781 18964 5183 4275 221 687 sdbws
mShrink 42 256 19259 20879 1620 475 561 584 sdbws
mJPEG 43 256 21220 23788 2568 533 1803 232 sdbws
