type time price
256 25588 0.000972861
512 14603 0.001053342
1024 11901 0.001211909
1536 8315 0.001380552
2048 9565 0.001977062
2560 10391 0.002605
3008 10870 0.002825569
sdbcs 9227 0.001126989
plan 9769 0.001160753
