task id resource request_start request_end request_duration type
generateData 1 1024 0 1139 1139 sdbcs 
create_dat_1 3 1024 1145 1914 769 sdbcs 
create_dat_3 5 1024 1147 1950 803 sdbcs 
create_dat_0 2 1024 1149 1960 811 sdbcs 
create_dat_2 4 512 1151 2041 890 sdbcs 
execute_case_0_2 8 1536 1973 5347 3374 sdbcs 
execute_case_2_1 13 1024 2055 6969 4914 sdbcs 
execute_case_0_0 6 2560 1975 4431 2456 sdbcs 
execute_case_0_1 7 1536 1977 5375 3398 sdbcs 
execute_case_3_2 17 1536 1963 5319 3356 sdbcs 
execute_case_3_0 15 1024 1963 6674 4711 sdbcs 
execute_case_1_0 9 2048 1931 4632 2701 sdbcs 
execute_case_2_2 14 1024 2049 6956 4907 sdbcs 
execute_case_2_0 12 1024 2051 6940 4889 sdbcs 
execute_case_3_1 16 1536 1965 5331 3366 sdbcs 
execute_case_1_1 10 1024 1933 6659 4726 sdbcs 
execute_case_1_2 11 2048 1933 4599 2666 sdbcs 
average_result_2 20 256 6977 7698 721 sdbcs 
average_result_0 18 256 5386 6178 792 sdbcs 
average_result_1 19 256 6670 7447 777 sdbcs 
average_result_3 21 256 6684 7451 767 sdbcs 
summary 22 256 7704 9227 1523 sdbcs 
