task id resource request_start request_end request_duration type
generateData 1 1024 0 1038 1038 sdbcs 
create_dat_1 3 1024 1046 1957 911 sdbcs 
create_dat_3 5 1024 1050 1958 908 sdbcs 
create_dat_0 2 1024 1044 1957 913 sdbcs 
create_dat_2 4 512 1048 2337 1289 sdbcs 
execute_case_0_2 8 1536 1975 5623 3648 sdbcs 
execute_case_2_1 13 1024 2356 7291 4935 sdbcs 
execute_case_0_0 6 2560 1974 4249 2275 sdbcs 
execute_case_0_1 7 1536 1974 5773 3799 sdbcs 
execute_case_3_2 17 1536 1978 5749 3771 sdbcs 
execute_case_3_0 15 1024 1978 6835 4857 sdbcs 
execute_case_1_0 9 2048 1975 4834 2859 sdbcs 
execute_case_2_2 14 1024 2359 7398 5039 sdbcs 
execute_case_2_0 12 1024 2356 7232 4876 sdbcs 
execute_case_3_1 16 1536 1977 5320 3343 sdbcs 
execute_case_1_1 10 1024 1977 6647 4670 sdbcs 
execute_case_1_2 11 2048 1972 4600 2628 sdbcs 
average_result_2 20 256 7568 8261 693 sdbcs 
average_result_0 18 256 6077 6838 761 sdbcs 
average_result_1 19 256 6668 7440 772 sdbcs 
average_result_3 21 256 6858 7769 911 sdbcs 
summary 22 256 8540 10250 1710 sdbcs 
