type time price
256 58478 0.00065886
512 26701 0.00075477
1024 16925 0.000995199
1536 14926 0.00127551
2048 14178 0.001610322
2560 13038 0.00191728
3008 14266 0.00230159
sdbws 23171 0.000739153
plan 19345 0.000749584
