task id resource request_start request_end request_duration start end time downloaded executed uploaded type
generateData.js 1 1536 0 889 889 1282 1662 380 131 111 138 sdbws
createDat.js 5 1024 912 1625 713 2096 2501 405 118 170 117 sdbws
createDat.js 2 1024 905 1626 721 2012 2447 435 113 180 142 sdbws
createDat.js 4 1024 911 1628 717 2067 2501 434 118 169 147 sdbws
createDat.js 3 1024 910 1628 718 2127 2547 420 120 173 127 sdbws
ellipsoids-openmp 9 2560 1652 3935 2283 2931 4824 1893 125 1596 172 sdbws
ellipsoids-openmp 12 2560 1644 3937 2293 2922 4859 1937 124 1618 195 sdbws
ellipsoids-openmp 10 2048 1645 4550 2905 2963 5308 2345 118 2010 217 sdbws
ellipsoids-openmp 11 2048 1646 4552 2906 2879 5238 2359 127 2009 223 sdbws
ellipsoids-openmp 16 1536 1636 4959 3323 2919 5895 2976 153 2626 197 sdbws
ellipsoids-openmp 14 1536 1645 4961 3316 2918 5929 3011 117 2670 224 sdbws
ellipsoids-openmp 15 1536 1636 4971 3335 2972 5973 3001 109 2667 225 sdbws
ellipsoids-openmp 13 1536 1645 4996 3351 2835 5899 3064 123 2732 209 sdbws
mean-pack-ell 19 512 4561 5063 502 5737 6052 315 184 3 128 sdbws
mean-pack-ell 20 256 5003 6086 1083 6286 6942 656 340 142 174 sdbws
ellipsoids-openmp 8 1024 1644 6503 4859 2970 7316 4346 123 4031 192 sdbws
ellipsoids-openmp 7 512 1638 10362 8724 2957 11251 8294 152 7945 197 sdbws
ellipsoids-openmp 6 512 1637 10390 8753 2840 11283 8443 137 8099 207 sdbws
ellipsoids-openmp 17 512 1637 10430 8793 2964 11413 8449 152 8068 229 sdbws
mean-pack-ell 18 512 10397 10999 602 11588 11879 291 168 2 121 sdbws
mean-pack-ell 21 256 10434 11063 629 11672 12088 416 233 3 180 sdbws
summary.js 22 512 11065 12335 1270 12562 13223 661 166 376 119 sdbws
generateData.js 1 1536 0 4857 4857 5332 5710 378 127 105 146 sdbws
createDat.js 4 1024 4866 5719 853 6306 6701 395 112 154 129 sdbws
createDat.js 3 1024 4866 5720 854 6279 6687 408 115 167 126 sdbws
createDat.js 2 1024 4863 5723 860 6317 6726 409 117 161 131 sdbws
createDat.js 5 1024 4869 5854 985 6241 6790 549 111 162 276 sdbws
ellipsoids-openmp 9 2560 5739 8077 2338 6905 8780 1875 116 1563 196 sdbws
ellipsoids-openmp 12 2560 5733 8079 2346 6855 8972 2117 113 1771 233 sdbws
ellipsoids-openmp 10 2048 5735 8107 2372 6885 9103 2218 113 1921 184 sdbws
ellipsoids-openmp 11 2048 5739 8303 2564 6874 9249 2375 134 2036 205 sdbws
mean-pack-ell 19 512 8305 9100 795 9462 9753 291 162 2 127 sdbws
ellipsoids-openmp 14 1536 5734 9102 3368 6900 9875 2975 109 2673 193 sdbws
ellipsoids-openmp 13 1536 5734 9104 3370 6791 9839 3048 116 2733 199 sdbws
ellipsoids-openmp 16 1536 5865 9105 3240 7042 9970 2928 120 2606 202 sdbws
ellipsoids-openmp 15 1536 5862 9107 3245 7055 10064 3009 114 2673 222 sdbws
mean-pack-ell 20 256 9116 9741 625 10357 10767 410 237 2 171 sdbws
ellipsoids-openmp 8 1024 5744 10632 4888 6855 11292 4437 116 4067 254 sdbws
