type time price
256 28511 0.015597885
512 16015 0.016432302
1024 10561 0.017875241
1536 23991 0.021473586
2048 22679 0.023047942
2560 7334 0.025366448
3008 6916 0.027075513
sdbws 17964 0.01617807
plan 17787 0.016444968
