task id resource request_start request_end request_duration type
generateData 1 512 0 1075 1075 sdbws 
create_dat_0 2 256 1083 2533 1450 sdbws 
create_dat_1 3 512 1087 2150 1063 sdbws 
create_dat_2 4 256 1088 2577 1489 sdbws 
create_dat_3 5 512 1092 2193 1101 sdbws 
execute_case_0_0 6 512 2631 12628 9997 sdbws 
execute_case_0_1 7 512 2632 12391 9759 sdbws 
execute_case_0_2 8 512 2645 12589 9944 sdbws 
execute_case_0_3 9 512 2651 12638 9987 sdbws 
execute_case_0_4 10 512 2589 12416 9827 sdbws 
execute_case_0_5 11 512 2589 12452 9863 sdbws 
execute_case_0_6 12 512 2589 12324 9735 sdbws 
execute_case_0_7 13 512 2590 12367 9777 sdbws 
execute_case_0_8 14 512 2590 12538 9948 sdbws 
execute_case_0_9 15 512 2590 12407 9817 sdbws 
execute_case_0_10 16 512 2591 12358 9767 sdbws 
execute_case_0_11 17 512 2591 12553 9962 sdbws 
execute_case_0_12 18 512 2592 12597 10005 sdbws 
execute_case_0_13 19 512 2593 12547 9954 sdbws 
execute_case_0_14 20 512 2593 12414 9821 sdbws 
execute_case_0_15 21 512 2593 12512 9919 sdbws 
execute_case_0_16 22 512 2593 12679 10086 sdbws 
execute_case_0_17 23 512 2594 12637 10043 sdbws 
execute_case_0_18 24 512 2594 12544 9950 sdbws 
execute_case_0_19 25 512 2594 12427 9833 sdbws 
execute_case_0_20 26 512 2595 12584 9989 sdbws 
execute_case_0_21 27 512 2598 12619 10021 sdbws 
execute_case_0_22 28 512 2599 12530 9931 sdbws 
execute_case_0_23 29 512 2599 12467 9868 sdbws 
execute_case_0_24 30 512 2601 12629 10028 sdbws 
execute_case_0_25 31 512 2602 12660 10058 sdbws 
execute_case_0_26 32 512 2602 12630 10028 sdbws 
execute_case_0_27 33 512 2602 12544 9942 sdbws 
execute_case_0_28 34 512 2603 12385 9782 sdbws 
execute_case_0_29 35 512 2603 12492 9889 sdbws 
execute_case_0_30 36 512 2603 12632 10029 sdbws 
execute_case_0_31 37 512 2604 12689 10085 sdbws 
execute_case_0_32 38 512 2604 12649 10045 sdbws 
execute_case_0_33 39 512 2604 12577 9973 sdbws 
execute_case_0_34 40 512 2605 12615 10010 sdbws 
execute_case_0_35 41 512 2605 12692 10087 sdbws 
execute_case_0_36 42 512 2606 12506 9900 sdbws 
execute_case_0_37 43 512 2606 12666 10060 sdbws 
execute_case_0_38 44 512 2606 12570 9964 sdbws 
execute_case_0_39 45 512 2607 12409 9802 sdbws 
execute_case_0_40 46 512 2607 12659 10052 sdbws 
execute_case_0_41 47 1024 2723 8173 5450 sdbws 
execute_case_0_42 48 512 2608 12455 9847 sdbws 
execute_case_0_43 49 512 2608 12543 9935 sdbws 
execute_case_0_44 50 512 2608 12620 10012 sdbws 
execute_case_0_45 51 512 2609 12567 9958 sdbws 
execute_case_0_46 52 512 2621 12695 10074 sdbws 
execute_case_0_47 53 512 2622 12556 9934 sdbws 
execute_case_0_48 54 512 2629 12631 10002 sdbws 
execute_case_0_49 55 512 2629 12650 10021 sdbws 
