mProjectPP 4 1024 0 1850 1850 1024
mProjectPP 3 1024 72 2036 1964 1024
mDiffFit 16 1024 2205 3679 1474 1024
mProjectPP 10 1024 1682 3801 2119 1024
mProjectPP 7 1024 2171 4346 2175 1024
mProjectPP 8 1024 2183 4594 2411 1024
mProjectPP 9 1024 2174 4761 2587 1024
mProjectPP 6 1024 2329 4930 2601 1024
mProjectPP 1 1024 2384 5341 2957 1024
mProjectPP 2 1024 2511 5364 2853 1024
mProjectPP 5 1024 2409 5490 3081 1024
mDiffFit 26 1024 4473 5612 1139 1024
mDiffFit 23 1024 5092 6223 1131 1024
mDiffFit 25 1024 4934 6271 1337 1024
mDiffFit 20 1024 4470 6447 1977 1024
mDiffFit 21 1024 5635 6630 995 1024
mDiffFit 12 1024 5577 7097 1520 1024
mDiffFit 18 1024 4873 7374 2501 1024
mDiffFit 27 1024 4892 7773 2881 1024
mDiffFit 14 1024 5649 8105 2456 1024
mDiffFit 15 1024 5649 8220 2571 1024
mDiffFit 24 1024 5086 8404 3318 1024
mDiffFit 19 1024 7115 8829 1714 1024
mDiffFit 11 1024 6273 8843 2570 1024
mDiffFit 13 1024 7061 8929 1868 1024
mDiffFit 22 1024 6852 8973 2121 1024
mDiffFit 17 1024 6302 9250 2948 1024
mConcatFit 28 1024 9383 9910 527 1024
mBgModel 29 1024 10032 13212 3180 1024
mBackground 31 1024 13508 14395 887 1024
mBackground 38 1024 13509 14539 1030 1024
mBackground 33 1024 13543 14576 1033 1024
mBackground 32 1024 13540 14629 1089 1024
mBackground 36 1024 13525 14828 1303 1024
mBackground 30 1024 13513 14871 1358 1024
mBackground 35 1024 13515 15109 1594 1024
mBackground 37 1024 13536 15289 1753 1024
mBackground 39 1024 13559 15605 2046 1024
mBackground 34 1024 13453 16085 2632 1024
mImgtbl 40 1024 16213 18317 2104 1024
mAdd 41 1024 18566 22628 4062 1024
mShrink 42 1024 22979 24336 1357 1024
mJPEG 43 1024 24618 25844 1226 1024
mProjectPP 8 1024 78 1868 1790 1024
mProjectPP 10 1024 94 1874 1780 1024
mProjectPP 6 1024 44 1944 1900 1024
mProjectPP 7 1024 0 2043 2043 1024
mProjectPP 3 1024 42 2193 2151 1024
mProjectPP 5 1024 18 2416 2398 1024
mProjectPP 1 1024 35 2522 2487 1024
mProjectPP 2 1024 32 2530 2498 1024
mProjectPP 9 1024 86 2673 2587 1024
mProjectPP 4 1024 79 3116 3037 1024
mDiffFit 23 1024 2231 3724 1493 1024
mDiffFit 12 1024 2677 3847 1170 1024
mDiffFit 13 1024 2658 3925 1267 1024
mDiffFit 18 1024 2402 3961 1559 1024
mDiffFit 27 1024 2858 4075 1217 1024
mDiffFit 11 1024 2765 4090 1325 1024
mDiffFit 14 1024 2706 4160 1454 1024
mDiffFit 19 1024 3312 4460 1148 1024
mDiffFit 25 1024 2948 4479 1531 1024
mDiffFit 16 1024 3385 4513 1128 1024
mDiffFit 21 1024 2556 4774 2218 1024
mDiffFit 20 1024 3355 5120 1765 1024
mDiffFit 15 1024 2831 5123 2292 1024
mDiffFit 17 1024 2566 5154 2588 1024
mDiffFit 22 1024 2596 5793 3197 1024
mDiffFit 26 1024 2191 5842 3651 1024
mDiffFit 24 1024 2886 6187 3301 1024
mConcatFit 28 1024 6325 6900 575 1024
mBgModel 29 1024 7022 10157 3135 1024
mBackground 32 1024 10328 11343 1015 1024
mBackground 37 1024 10435 11487 1052 1024
mBackground 31 1024 10365 11565 1200 1024
mBackground 35 1024 10422 11755 1333 1024
mBackground 33 1024 10377 11762 1385 1024
mBackground 36 1024 10364 11884 1520 1024
mBackground 34 1024 10350 11917 1567 1024
mBackground 38 1024 10416 11977 1561 1024
mBackground 39 1024 10365 12446 2081 1024
mBackground 30 1024 10381 13698 3317 1024
mImgtbl 40 1024 14077 15879 1802 1024
mAdd 41 1024 16247 21996 5749 1024
mShrink 42 1024 22253 24031 1778 1024
mJPEG 43 1024 24325 25787 1462 1024
mProjectPP 9 1024 41 1958 1917 1024
mProjectPP 7 1024 77 1995 1918 1024
mProjectPP 3 1024 0 2115 2115 1024
mProjectPP 1 1024 45 2150 2105 1024
mProjectPP 4 1024 46 2296 2250 1024
mProjectPP 5 1024 73 2364 2291 1024
mProjectPP 8 1024 44 2605 2561 1024
mProjectPP 10 1024 44 2623 2579 1024
mProjectPP 6 1024 58 2663 2605 1024
mProjectPP 2 1024 43 2777 2734 1024
mDiffFit 25 1024 2117 3546 1429 1024
mDiffFit 17 1024 2556 3629 1073 1024
mDiffFit 11 1024 2944 4199 1255 1024
mDiffFit 15 1024 2957 4222 1265 1024
mDiffFit 21 1024 2917 4314 1397 1024
mDiffFit 26 1024 2942 4433 1491 1024
mDiffFit 12 1024 2279 4566 2287 1024
mDiffFit 22 1024 2493 4992 2499 1024
mDiffFit 20 1024 2424 5370 2946 1024
mDiffFit 23 1024 4018 5449 1431 1024
mDiffFit 16 1024 2466 5677 3211 1024
mDiffFit 27 1024 2902 5739 2837 1024
mDiffFit 18 1024 2921 5797 2876 1024
mDiffFit 24 1024 4062 5892 1830 1024
mDiffFit 19 1024 2556 5904 3348 1024
mDiffFit 13 1024 2534 5923 3389 1024
mDiffFit 14 1024 4109 7234 3125 1024
mConcatFit 28 1024 7370 7897 527 1024
mBgModel 29 1024 8018 11153 3135 1024
mBackground 36 1024 11397 12276 879 1024
mBackground 31 1024 11378 12463 1085 1024
mBackground 32 1024 11390 12474 1084 1024
mBackground 33 1024 11340 12492 1152 1024
mBackground 30 1024 11372 12713 1341 1024
mBackground 39 1024 11398 12820 1422 1024
mBackground 38 1024 11398 13074 1676 1024
mBackground 34 1024 11401 13214 1813 1024
mBackground 35 1024 11397 13448 2051 1024
mBackground 37 1024 11360 13810 2450 1024
mImgtbl 40 1024 13974 16441 2467 1024
mAdd 41 1024 16701 20573 3872 1024
mShrink 42 1024 20962 22376 1414 1024
mJPEG 43 1024 22527 23950 1423 1024
mProjectPP 3 1024 50 1810 1760 1024
mProjectPP 4 1024 63 1839 1776 1024
mProjectPP 6 1024 81 1950 1869 1024
mProjectPP 1 1024 0 2024 2024 1024
mProjectPP 8 1024 43 2232 2189 1024
mProjectPP 2 1024 51 2277 2226 1024
mProjectPP 10 1024 68 2537 2469 1024
mProjectPP 5 1024 67 2783 2716 1024
mProjectPP 7 1024 35 2896 2861 1024
mProjectPP 9 1024 112 3165 3053 1024
mDiffFit 15 1024 2406 3257 851 1024
mDiffFit 12 1024 2184 3499 1315 1024
mDiffFit 11 1024 2448 3643 1195 1024
mDiffFit 25 1024 3410 4341 931 1024
mDiffFit 19 1024 3211 4413 1202 1024
mDiffFit 27 1024 3426 4540 1114 1024
mDiffFit 21 1024 3179 4684 1505 1024
mDiffFit 16 1024 2003 4774 2771 1024
mDiffFit 23 1024 3138 4964 1826 1024
mDiffFit 26 1024 3184 5026 1842 1024
mDiffFit 14 1024 2403 5172 2769 1024
mDiffFit 18 1024 2394 5242 2848 1024
mDiffFit 22 1024 3176 5272 2096 1024
mDiffFit 13 1024 3125 5614 2489 1024
mDiffFit 24 1024 3455 5666 2211 1024
mDiffFit 17 1024 3124 5795 2671 1024
mDiffFit 20 1024 3172 5931 2759 1024
mConcatFit 28 1024 6071 6670 599 1024
mBgModel 29 1024 6792 9948 3156 1024
mBackground 32 1024 10354 11249 895 1024
mBackground 30 1024 10315 11262 947 1024
mBackground 39 1024 10348 11412 1064 1024
mBackground 36 1024 10376 11591 1215 1024
mBackground 33 1024 10419 11640 1221 1024
mBackground 37 1024 10417 11646 1229 1024
mBackground 38 1024 10410 11761 1351 1024
mBackground 34 1024 10362 12664 2302 1024
mBackground 35 1024 10365 13023 2658 1024
mBackground 31 1024 10324 15396 5072 1024
mImgtbl 40 1024 15533 18226 2693 1024
mAdd 41 1024 20777 24608 3831 1024
mShrink 42 1024 24980 26456 1476 1024
mJPEG 43 1024 26850 28232 1382 1024
mProjectPP 6 1536 0 1422 1422 1536
mProjectPP 7 1536 559 2274 1715 1536
mProjectPP 2 1536 1039 2640 1601 1536
mProjectPP 8 1536 1068 2653 1585 1536
mProjectPP 4 1536 1206 3079 1873 1536
mProjectPP 1 1536 1199 3108 1909 1536
mProjectPP 10 1536 1536 3652 2116 1536
mDiffFit 15 1536 2810 3688 878 1536
mProjectPP 9 1536 1591 3781 2190 1536
mDiffFit 23 1536 2603 3882 1279 1536
