task id resource request_start request_end request_duration type
generateData 1 512 0 1226 1226 sdbws 
create_dat_0 2 512 1234 2292 1058 sdbws 
create_dat_1 3 256 1236 2901 1665 sdbws 
create_dat_2 4 512 1239 2253 1014 sdbws 
create_dat_3 5 512 1241 2278 1037 sdbws 
execute_case_0_0 6 512 2330 11948 9618 sdbws 
execute_case_0_1 7 512 2335 11899 9564 sdbws 
execute_case_0_2 8 512 2338 11959 9621 sdbws 
execute_case_0_3 9 512 2342 11902 9560 sdbws 
execute_case_0_4 10 512 2320 11791 9471 sdbws 
execute_case_0_5 11 1024 2320 7612 5292 sdbws 
execute_case_0_6 12 512 2321 12149 9828 sdbws 
execute_case_0_7 13 512 2321 11989 9668 sdbws 
execute_case_0_8 14 512 2321 11871 9550 sdbws 
execute_case_0_9 15 512 2321 11924 9603 sdbws 
execute_case_0_10 16 512 2322 11883 9561 sdbws 
execute_case_0_11 17 512 2324 11791 9467 sdbws 
execute_case_0_12 18 512 2324 11772 9448 sdbws 
execute_case_0_13 19 512 2325 11988 9663 sdbws 
execute_case_0_14 20 512 2325 11875 9550 sdbws 
execute_case_0_15 21 512 2326 11855 9529 sdbws 
execute_case_0_16 22 512 2326 11951 9625 sdbws 
execute_case_0_17 23 512 2326 11762 9436 sdbws 
execute_case_0_18 24 512 2327 11838 9511 sdbws 
execute_case_0_19 25 512 2328 11950 9622 sdbws 
execute_case_1_0 26 512 2924 12508 9584 sdbws 
execute_case_1_1 27 512 2924 11967 9043 sdbws 
execute_case_1_2 28 512 2925 12056 9131 sdbws 
execute_case_1_3 29 512 2925 12108 9183 sdbws 
execute_case_1_4 30 512 2926 12099 9173 sdbws 
execute_case_1_5 31 512 2928 12598 9670 sdbws 
execute_case_1_6 32 512 2929 12003 9074 sdbws 
execute_case_1_7 33 512 2929 11943 9014 sdbws 
execute_case_1_8 34 512 2930 12063 9133 sdbws 
execute_case_1_9 35 512 2933 12229 9296 sdbws 
execute_case_1_10 36 512 2933 12062 9129 sdbws 
execute_case_1_11 37 512 2936 12196 9260 sdbws 
execute_case_1_12 38 512 2936 12227 9291 sdbws 
execute_case_1_13 39 512 2936 12068 9132 sdbws 
execute_case_1_14 40 512 2937 12070 9133 sdbws 
execute_case_1_15 41 512 2938 12178 9240 sdbws 
execute_case_1_16 42 512 2941 12390 9449 sdbws 
execute_case_1_17 43 512 2945 12297 9352 sdbws 
execute_case_1_18 44 512 2947 12313 9366 sdbws 
execute_case_1_19 45 512 2960 12025 9065 sdbws 
execute_case_2_0 46 512 2295 11691 9396 sdbws 
execute_case_2_1 47 512 2296 11706 9410 sdbws 
execute_case_2_2 48 512 2296 11919 9623 sdbws 
execute_case_2_3 49 512 2297 11681 9384 sdbws 
execute_case_2_4 50 512 2299 12071 9772 sdbws 
execute_case_2_5 51 512 2299 11766 9467 sdbws 
execute_case_2_6 52 512 2299 11670 9371 sdbws 
execute_case_2_7 53 512 2300 11673 9373 sdbws 
execute_case_2_8 54 512 2300 11612 9312 sdbws 
execute_case_2_9 55 512 2302 12012 9710 sdbws 
execute_case_2_10 56 512 2303 11553 9250 sdbws 
execute_case_2_11 57 512 2305 11927 9622 sdbws 
execute_case_2_12 58 512 2306 11784 9478 sdbws 
execute_case_2_13 59 512 2306 11513 9207 sdbws 
execute_case_2_14 60 512 2307 11746 9439 sdbws 
execute_case_2_15 61 512 2307 11888 9581 sdbws 
execute_case_2_16 62 512 2307 12040 9733 sdbws 
execute_case_2_17 63 512 2311 11690 9379 sdbws 
execute_case_2_18 64 512 2312 11801 9489 sdbws 
execute_case_2_19 65 512 2328 11751 9423 sdbws 
execute_case_3_0 66 512 2302 11768 9466 sdbws 
execute_case_3_1 67 512 2303 11436 9133 sdbws 
execute_case_3_2 68 512 2304 11755 9451 sdbws 
execute_case_3_3 69 512 2306 11814 9508 sdbws 
execute_case_3_4 70 512 2307 11776 9469 sdbws 
execute_case_3_5 71 512 2309 11513 9204 sdbws 
execute_case_3_6 72 512 2309 11757 9448 sdbws 
execute_case_3_7 73 512 2310 11803 9493 sdbws 
execute_case_3_8 74 512 2311 11629 9318 sdbws 
execute_case_3_9 75 512 2311 11504 9193 sdbws 
execute_case_3_10 76 512 2312 11878 9566 sdbws 
execute_case_3_11 77 512 2312 11814 9502 sdbws 
execute_case_3_12 78 512 2313 11864 9551 sdbws 
execute_case_3_13 79 512 2313 11869 9556 sdbws 
execute_case_3_14 80 512 2317 11628 9311 sdbws 
execute_case_3_15 81 512 2317 11648 9331 sdbws 
execute_case_3_16 82 512 2318 11619 9301 sdbws 
execute_case_3_17 83 512 2318 11758 9440 sdbws 
execute_case_3_18 84 512 2322 11614 9292 sdbws 
execute_case_3_19 85 512 2331 11558 9227 sdbws 
average_result_0 86 256 12517 14171 1654 sdbws 
average_result_1 87 256 12841 14471 1630 sdbws 
average_result_2 88 256 12438 14068 1630 sdbws 
average_result_3 89 256 12183 13838 1655 sdbws 
summary 90 256 14943 16575 1632 sdbws 
