task id resource request_start request_end request_duration type
generateData 1 512 0 1354 1354 sdbws 
create_dat_0 2 512 1361 2500 1139 sdbws 
create_dat_1 3 256 1363 2958 1595 sdbws 
create_dat_2 4 512 1366 2692 1326 sdbws 
create_dat_3 5 512 1368 2675 1307 sdbws 
execute_case_0_0 6 512 2567 12332 9765 sdbws 
execute_case_0_1 7 512 2567 12434 9867 sdbws 
execute_case_0_2 8 512 2582 12281 9699 sdbws 
execute_case_0_3 9 512 2586 12356 9770 sdbws 
execute_case_0_4 10 512 2561 12334 9773 sdbws 
execute_case_0_5 11 1024 2559 7491 4932 sdbws 
execute_case_0_6 12 512 2562 12300 9738 sdbws 
execute_case_0_7 13 512 2562 12243 9681 sdbws 
execute_case_0_8 14 512 2562 12273 9711 sdbws 
execute_case_0_9 15 512 2563 11950 9387 sdbws 
execute_case_0_10 16 512 2563 12296 9733 sdbws 
execute_case_0_11 17 512 2564 12401 9837 sdbws 
execute_case_0_12 18 512 2564 12170 9606 sdbws 
execute_case_0_13 19 512 2564 12319 9755 sdbws 
execute_case_0_14 20 512 2565 12389 9824 sdbws 
execute_case_0_15 21 512 2565 12360 9795 sdbws 
execute_case_0_16 22 512 2565 12401 9836 sdbws 
execute_case_0_17 23 512 2565 12325 9760 sdbws 
execute_case_0_18 24 512 2566 12298 9732 sdbws 
execute_case_0_19 25 512 2566 12130 9564 sdbws 
execute_case_1_0 26 512 3010 12642 9632 sdbws 
execute_case_1_1 27 512 3011 12585 9574 sdbws 
execute_case_1_2 28 512 3011 12745 9734 sdbws 
execute_case_1_3 29 512 3011 12479 9468 sdbws 
execute_case_1_4 30 512 3012 12607 9595 sdbws 
execute_case_1_5 31 512 3012 12445 9433 sdbws 
execute_case_1_6 32 512 3012 12546 9534 sdbws 
execute_case_1_7 33 512 3013 12427 9414 sdbws 
execute_case_1_8 34 512 3013 12661 9648 sdbws 
execute_case_1_9 35 512 3014 12679 9665 sdbws 
execute_case_1_10 36 512 3014 12588 9574 sdbws 
execute_case_1_11 37 512 3014 12632 9618 sdbws 
execute_case_1_12 38 512 3015 12818 9803 sdbws 
execute_case_1_13 39 512 3015 12561 9546 sdbws 
execute_case_1_14 40 512 3018 12613 9595 sdbws 
execute_case_1_15 41 512 3019 12682 9663 sdbws 
execute_case_1_16 42 512 3020 12708 9688 sdbws 
execute_case_1_17 43 512 3032 12611 9579 sdbws 
execute_case_1_18 44 512 3039 12622 9583 sdbws 
execute_case_1_19 45 512 3043 12841 9798 sdbws 
execute_case_2_0 46 512 2744 12308 9564 sdbws 
execute_case_2_1 47 512 2745 12432 9687 sdbws 
execute_case_2_2 48 512 2745 12286 9541 sdbws 
execute_case_2_3 49 512 2745 12495 9750 sdbws 
execute_case_2_4 50 512 2746 12369 9623 sdbws 
execute_case_2_5 51 512 2746 12405 9659 sdbws 
execute_case_2_6 52 512 2747 12242 9495 sdbws 
execute_case_2_7 53 512 2747 12266 9519 sdbws 
execute_case_2_8 54 512 2748 12317 9569 sdbws 
execute_case_2_9 55 512 2748 12538 9790 sdbws 
execute_case_2_10 56 512 2748 12483 9735 sdbws 
execute_case_2_11 57 512 2749 12369 9620 sdbws 
execute_case_2_12 58 512 2749 12512 9763 sdbws 
execute_case_2_13 59 512 2749 12764 10015 sdbws 
execute_case_2_14 60 512 2749 12358 9609 sdbws 
execute_case_2_15 61 512 2750 12660 9910 sdbws 
execute_case_2_16 62 512 2750 12530 9780 sdbws 
execute_case_2_17 63 512 2750 12430 9680 sdbws 
execute_case_2_18 64 512 2750 12509 9759 sdbws 
execute_case_2_19 65 512 2757 12510 9753 sdbws 
execute_case_3_0 66 512 2725 11948 9223 sdbws 
execute_case_3_1 67 512 2726 12068 9342 sdbws 
execute_case_3_2 68 512 2726 11776 9050 sdbws 
execute_case_3_3 69 512 2727 12237 9510 sdbws 
execute_case_3_4 70 512 2727 11877 9150 sdbws 
execute_case_3_5 71 512 2727 12012 9285 sdbws 
execute_case_3_6 72 512 2728 12023 9295 sdbws 
execute_case_3_7 73 512 2728 11758 9030 sdbws 
execute_case_3_8 74 512 2728 12326 9598 sdbws 
execute_case_3_9 75 512 2728 12098 9370 sdbws 
execute_case_3_10 76 512 2729 12127 9398 sdbws 
execute_case_3_11 77 512 2729 12000 9271 sdbws 
execute_case_3_12 78 512 2729 12045 9316 sdbws 
execute_case_3_13 79 512 2729 12209 9480 sdbws 
execute_case_3_14 80 512 2732 12121 9389 sdbws 
execute_case_3_15 81 512 2735 12010 9275 sdbws 
execute_case_3_16 82 512 2735 11990 9255 sdbws 
execute_case_3_17 83 512 2735 12240 9505 sdbws 
execute_case_3_18 84 512 2736 12090 9354 sdbws 
execute_case_3_19 85 512 2742 12316 9574 sdbws 
average_result_0 86 256 13030 14822 1792 sdbws 
average_result_1 87 256 13291 15171 1880 sdbws 
average_result_2 88 256 13128 14975 1847 sdbws 
average_result_3 89 256 12710 14595 1885 sdbws 
summary 90 256 15200 16846 1646 sdbws 
