type time price
256 26996 0.006177855
512 15446 0.006537726
1024 9757 0.007164766
1536 7495 0.008098238
2048 6769 0.008445022
2560 6493 0.00933632
3008 6244 0.009955601
sdbws 16575 0.006406735
plan 16278 0.006520162
